English	Translation	Pinyin	Hiragana	Latin Letters	Part of Speech	Stamp	OriginLanguage
A Black	чёрная			čërnaâ	Noun	[]	Russian
A Black	чёрную			čërnuû	Noun	[]	Russian
A Black One	чёрная			čërnaâ	Noun	[]	Russian
A Blog	блог			blog	Noun	[]	Russian
A Blogger	un bloguero				Noun	[]	Spanish
A Blue	синей			sinej	Noun	[]	Russian
A Blue	синий			sinij	Noun	[]	Russian
A Blue	синюю			sinûû	Noun	[]	Russian
A Blue	синяя			sinââ	Noun	[]	Russian
A Boat	un barco				Noun	[]	Spanish
A Bone	un hueso				Noun	[]	Spanish
A Book	книга			kniga	Noun	[]	Russian
A Book	книги			knigi	Noun	[]	Russian
A Bookstore	书店	shū diàn			Noun	[]	Chinese
A Bottle	бутылка			butylka	Noun	[]	Russian
A Bottle	una botella				Noun	[]	Spanish
A Bottle Of Water	d'eau				Noun	[]	French
A Bottle Of Water	una botella de agua				Noun	[]	Spanish
A Bowl	миска			miska	Noun	[]	Russian
A Bowl	тарелку			tarelku	Noun	[]	Russian
A Box	коробка			korobka	Noun	[]	Russian
A Boy	мальчик			malʹčik	Noun	[]	Russian
A Boy	мальчика			malʹčika	Noun	[]	Russian
A Boyfriend	парень			parenʹ	Noun	[]	Russian
A Bridesmaid	una dama de honor				Noun	[]	Spanish
A Brother	брат			brat	Noun	[]	Russian
A Brown	коричневый			koričnevyj	Noun	[]	Russian
A Bucket	un cubo				Noun	[]	Spanish
A Bucket	una cubeta				Noun	[]	Spanish
A Building	здание			zdanie	Noun	[]	Russian
A Bus	un autobús				Noun	[]	Spanish
A Business	бизнес			biznes	Noun	[]	Russian
A Business Travel	出差	chūchāi			Noun	[]	Chinese
A Butterfly	бабочка			babočka	Adverb	[]	Russian
A Cafe	кафе			kafe	Noun	[]	Russian
A Cake	торт			tort	Noun	[]	Russian
A Cake	una tarta				Noun	[]	Spanish
A Calculation	un cálculo				Noun	[]	Spanish
A Calendar	календарь			kalendarʹ	Noun	[]	Russian
A Camera	фотоаппарат			fotoapparat	Noun	[]	Russian
A Cappuccino	un capuchino				Noun	[]	Spanish
A Car	машина			mašina	Noun	[]	Russian
A Car	машиной			mašinoj	Noun	[]	Russian
A Car	машины			mašiny	Noun	[]	Russian
A Car	un coche				Noun	[]	Spanish
A Card	карта			karta	Noun	[]	Russian
A Card	una tarjeta				Noun	[]	Spanish
A Carrot	морковь			morkovʹ	Noun	[]	Russian
A Cartoon	мультфильм			mulʹtfilʹm	Noun	[]	Russian
A Case	plaider				Verb	[]	French
A Castle	замок			zamok	Noun	[]	Russian
A Cat	кот			kot	Noun	[]	Russian
A Cat	кошка			koška	Noun	[]	Russian
A Cat	кошки			koški	Noun	[]	Russian
A Cat	кошку			košku	Noun	[]	Russian
A Celestial Body That Emits Light	свети́ло			svetilo	Noun	[]	Russian
A Century	век			vek	Noun	[]	Russian
A Certain	某个	mǒu gè			Noun	[]	Chinese
A Certain	某种	mǒu zhǒng			Noun	[]	Chinese
A Certain	ある		ある		Noun	[]	Japanese
A Certain	определённый			opredelennyi	Noun	[]	Russian
A Certain	некоторый			nekotoryi	Noun	[]	Russian
A Certain	некий			nekii	Noun	[]	Russian
A Certain	determinado				Noun	[]	Spanish
A Certain	específico				Noun	[]	Spanish
A Certain Number Or Amount	若干	ruògān			Noun	[]	Chinese
A Chair	кресло			kreslo	Noun	[]	Russian
A Chair	стул			stul	Noun	[]	Russian
A Chair	стулом			stulom	Noun	[]	Russian
A Chance	ワンチャン		ワンチャン		Noun	[]	Japanese
A Chance Of	可能性		かのうせい		Noun	[]	Japanese
A Chancellor	Kanzlerin				Noun	[]	German
A Change Of Direction	поворо́т			povorot	Noun	[]	Russian
A Chef	der Koch				Noun	[]	German
A Chef	Koch				Noun	[]	German
A Chef	Köchin				Noun	[]	German
A Chicken	鶏		にわとり		Noun	[]	Japanese
A Child	élever				Verb	[]	French
A Child	ребёнка			rebënka	Noun	[]	Russian
A Child	ребёнок			rebënok	Noun	[]	Russian
A Children's	детский			detskij	Noun	[]	Russian
A Church	церковь			cerkovʹ	Noun	[]	Russian
A Church Wedding	una boda religiosa				Noun	[]	Spanish
A Circle	круг			krug	Noun	[]	Russian
A Citizen	гражданин			graždanin	Noun	[]	Russian
A City	город			gorod	Noun	[]	Russian
A City	городе			gorode	Noun	[]	Russian
A Civil Wedding	una boda civil				Noun	[]	Spanish
A Clever	умный			umnyj	Noun	[]	Russian
A Cloud	облако			oblako	Noun	[]	Russian
A Coat	пальто			palʹto	Noun	[]	Russian
A Coffin	un ataúd				Noun	[]	Spanish
A Cold	風邪		かぜ		Noun	[]	Japanese
A Cold	холодный			holodnyj	Noun	[]	Russian
A Color	цвет			cvet	Noun	[]	Russian
A Comma	запятая			zapâtaâ	Noun	[]	Russian
A Competition	соревнова́ние			sorevnovanie	Noun	[]	Russian
A Competitor	un competidor				Noun	[]	Spanish
A Competitor	una competidora				Noun	[]	Spanish
A Composer	композитор			kompozitor	Noun	[]	Russian
A Computer	компьютер			kompʹûter	Noun	[]	Russian
A Concept	поня́тие			ponjatie	Noun	[]	Russian
A Concert	концерт			koncert	Noun	[]	Russian
A Conman	мошенник			mošennik	Noun	[]	Russian
A Construction	постро́йка			postroika	Noun	[]	Russian
A Construction Worker	строитель			stroitelʹ	Noun	[]	Russian
A Contemptuous Disregard	不屑一顾	búxièyígù			Noun	[]	Chinese
A Contract	договор			dogovor	Noun	[]	Russian
A Conversation	разговор			razgovor	Noun	[]	Russian
A Cook	der Koch				Noun	[]	German
A Cook	Koch				Noun	[]	German
A Cook	Köchin				Noun	[]	German
A Corner	角		かど		Noun	[]	Japanese
A Cough	der Husten				Noun	[]	German
A Cough	Husten				Noun	[]	German
A Country	страна			strana	Noun	[]	Russian
A Couple	数		かず		Noun	[]	Japanese
A Couple Of	un par de				Noun	[]	Spanish
A Cover Picture	una foto de portada				Noun	[]	Spanish
A Cow	корова			korova	Noun	[]	Russian
A Crime	преступление			prestuplenie	Noun	[]	Russian
A Criminal	преступник			prestupnik	Noun	[]	Russian
A Crocodile	крокодил			krokodil	Noun	[]	Russian
A Cup	чашка			čaška	Noun	[]	Russian
A Cup Of	一杯	yī bēi			Noun	[]	Chinese
A Cupboard	шкаф			škaf	Noun	[]	Russian
A Customer	servir				Verb	[]	French
A Dacha	дача			dača	Noun	[]	Russian
A Dad	папа			papa	Noun	[]	Russian
A Dance	踊り		おどり		Noun	[]	Japanese
A Daughter	дочери			dočeri	Noun	[]	Russian
A Daughter	дочь			dočʹ	Noun	[]	Russian
A Day	一日		いちにち		Noun	[]	Japanese
A Day	一日に		ついたちに		Noun	[]	Japanese
A Day	день			denʹ	Noun	[]	Russian
A Decade Ago	Hace una década				Adjective	[]	Spanish
A Deer	олень			olenʹ	Noun	[]	Russian
A Delicious	вкусная			vkusnaâ	Noun	[]	Russian
A Delicious	вкусный			vkusnyj	Noun	[]	Russian
A Dentist	der Zahnarzt				Noun	[]	German
A Dentist	Zahnarzt				Noun	[]	German
A Depature	вы́езд			vyezd	Noun	[]	Russian
A Desert	пустыня			pustynâ	Noun	[]	Russian
A Dessert	десерт			desert	Noun	[]	Russian
A Device	éteindre				Verb	[]	French
A Dictionary	словарь			slovarʹ	Noun	[]	Russian
A Different	другой			drugoj	Noun	[]	Russian
A Disability	残疾	cánjí			Noun	[]	Chinese
A Discount	un descuento				Noun	[]	Spanish
A Disease	attraper				Verb	[]	French
A Disguise	un disfraz				Noun	[]	Spanish
A Distance	parcourir				Verb	[]	French
A Doctor	consulter				Verb	[]	French
A Doctor	Ärztin				Noun	[]	German
A Doctor	врач			vrač	Noun	[]	Russian
A Dog	собака			sobaka	Noun	[]	Russian
A Dog	собаки			sobaki	Noun	[]	Russian
A Dog	собаку			sobaku	Noun	[]	Russian
A Doll	娃娃	wáwa			Noun	[]	Chinese
A Dollar	доллар			dollar	Noun	[]	Russian
A Door	дверь			dverʹ	Noun	[]	Russian
A Dove	голубь			golubʹ	Noun	[]	Russian
A Dozen	дюжина			dûžina	Noun	[]	Russian
A Dozen Of	дюжина			dûžina	Noun	[]	Russian
A Dragon	дракон			drakon	Noun	[]	Russian
A Dress	платье			platʹe	Noun	[]	Russian
A Dress	un vestido				Noun	[]	Spanish
A Drug Store	аптека			apteka	Noun	[]	Russian
A Duck	утка			utka	Noun	[]	Russian
A Duck	утку			utku	Noun	[]	Russian
A European	европейский			evropejskij	Noun	[]	Russian
A Face	лицо			lico	Noun	[]	Russian
A Facial	una limpieza de cutis				Noun	[]	Spanish
A Factory	завод			zavod	Noun	[]	Russian
A Faint	о́бморок			obmorok	Noun	[]	Russian
A Fairy Tale	сказка			skazka	Noun	[]	Russian
A Fall	осень			osenʹ	Noun	[]	Russian
A Familiar	знакомый			znakomyj	Noun	[]	Russian
A Family	一家		いっか		Noun	[]	Japanese
A Family	семья			semʹâ	Adverb	[]	Russian
A Famous	знаменитый			znamenityj	Noun	[]	Russian
A Famous	известный			izvestnyj	Noun	[]	Russian
A Farmer	Bauer				Noun	[]	German
A Farmer	Bäuerin				Noun	[]	German
A Farmer	фермер			fermer	Noun	[]	Russian
A Father	папа			papa	Noun	[]	Russian
A Fault	una avería				Noun	[]	Spanish
A Feast	ごちそう		ごちそう		Noun, Suru Verb	[]	Japanese
A Fever	fiebre				Noun	[]	Spanish
A Few	一些	yī xiē			Interrogative Pronoun	[]	Chinese
A Few	一点	yì diǎn			Interrogative Pronoun	[]	Chinese
A Few	几	jǐ			Interrogative Pronoun	[]	Chinese
A Few	几个	jǐ gè			Interrogative Pronoun	[]	Chinese
A Few	几件	jǐ jiàn			Interrogative Pronoun	[]	Chinese
A Few	几只	jǐ zhī			Interrogative Pronoun	[]	Chinese
A Few	几场	jǐ chǎng			Interrogative Pronoun	[]	Chinese
A Few	几家	jǐ jiā			Interrogative Pronoun	[]	Chinese
A Few	几张	jǐ zhāng			Interrogative Pronoun	[]	Chinese
A Few	几本	jǐ běn			Interrogative Pronoun	[]	Chinese
A Few	几样	jǐ yàng			Interrogative Pronoun	[]	Chinese
A Few	几根	jǐ gēn			Interrogative Pronoun	[]	Chinese
A Few	几种	jǐ zhǒng			Interrogative Pronoun	[]	Chinese
A Few	几道	jǐ dào			Interrogative Pronoun	[]	Chinese
A Few	几门	jǐ mén			Interrogative Pronoun	[]	Chinese
A Few	几颗	jǐ kē			Interrogative Pronoun	[]	Chinese
A Few	好几个	hǎo jǐ gè			Interrogative Pronoun	[]	Chinese
A Few	quelque				Adjective	[]	French
A Few	quelques				Adjective	[]	French
A Few	quelques-unes				Adjective	[]	French
A Few	quelques-uns				Pronoun	[]	French
A Few	ein paar				Interrogative Pronoun	[]	German
A Few	einige				Interrogative Pronoun	[]	German
A Few	einigen				Interrogative Pronoun	[]	German
A Few	manche				Interrogative Pronoun	[]	German
A Few	wenig				Interrogative Pronoun	[]	German
A Few	いくつか		いくつか		Noun, Adverb	[]	Japanese
A Few	いくつかの		いくつかの		Noun, Adverb	[]	Japanese
A Few	何匹が		なんびきが		Noun, Adverb	[]	Japanese
A Few	多少		たしょう		Noun, Adverb	[]	Japanese
A Few	少し		すこし		Noun, Adverb	[]	Japanese
A Few	数		かず		Noun, Adverb	[]	Japanese
A Few	数人		すうにん		Noun, Adverb	[]	Japanese
A Few	не́сколько			neskolʹko	Interrogative Pronoun	[]	Russian
A Few	немного			nemnogo	Interrogative Pronoun	[]	Russian
A Few	несколькими			neskol'kimi	Interrogative Pronoun	[]	Russian
A Few	нескольким			neskol'kim	Interrogative Pronoun	[]	Russian
A Few	несколько			neskol'ko	Interrogative Pronoun	[]	Russian
A Few	нескольких			neskol'kih	Interrogative Pronoun	[]	Russian
A Few	некоторых			nekotoryh	Interrogative Pronoun	[]	Russian
A Few	на пару			na paru	Interrogative Pronoun	[]	Russian
A Few	algunas				Noun	[]	Spanish
A Few	algunos				Noun	[]	Spanish
A Few	cuantos				Noun	[]	Spanish
A Few	poca				Noun	[]	Spanish
A Few	unas				Noun	[]	Spanish
A Few	unos				Noun	[]	Spanish
A Few Days Ago	前几天	qián jǐ tiān			Noun	[]	Chinese
A Few Minutes Ago	さっき		さっき		Noun	[]	Japanese
A Few Words	一言		ひとこと		Noun, Verb, Suru Verb	[]	Japanese
A Field	по́ле			pole	Noun	[]	Russian
A Fight	Streit				Noun	[]	German
A Figure	фигура			figura	Noun	[]	Russian
A Fire	пожа́р			pozhar	Noun	[]	Russian
A Fish	рыба			ryba	Noun	[]	Russian
A Flag	флаг			flag	Noun	[]	Russian
A Flight	un vuelo				Noun	[]	Spanish
A Flight Attendant	Flugbegleiter				Noun	[]	German
A Floater	un flotador				Noun	[]	Spanish
A Flock	ста́я			staja	Adjective	[]	Russian
A Floor	una planta				Noun	[]	Spanish
A Follower	un seguidor				Noun	[]	Spanish
A Fondo	layered				Noun	[]	Spanish
A Food	goûter				Verb	[]	French
A Foreign	иностранный			inostrannyj	Noun	[]	Russian
A Foreigner	Ausländer				Noun	[]	German
A Foreigner	иностранец			inostranec	Noun	[]	Russian
A Form Of	一種		いっしゅ		Noun	[]	Japanese
A Fort	крепость			krepostʹ	Noun	[]	Russian
A Forum	un foro				Noun	[]	Spanish
A Four-Wheeled Cart With A Low Body And A Shaft Or Drawbar Team For Transporting Someone	теле́га			telega	Noun	[]	Russian
A Fox	лиса			lisa	Noun	[]	Russian
A French	французский			francuzskij	Noun	[]	Russian
A Fridge	холодильник			holodilʹnik	Noun	[]	Russian
A Friend	朋友	péng yǒu			Noun	[]	Chinese
A Friend List	una lista de amigos				Noun	[]	Spanish
A Frog	лягушка			lâguška	Noun	[]	Russian
A Funny	смешной			smešnoj	Noun	[]	Russian
A Funny Short Story	анекдо́т			anekdot	Noun	[]	Russian
A Gallery	галерея			galereâ	Noun	[]	Russian
A Game	игра			igra	Noun	[]	Russian
A Game	матч			matč	Noun	[]	Russian
A Gate	выход			vyhod	Noun	[]	Russian
A Gel Manicure	una manicura de gel				Noun	[]	Spanish
A Generation	一生		いっしょう		Noun	[]	Japanese
A German	Deutsche				Noun	[]	German
A German	немецкий			nemeckij	Noun	[]	Russian
A Ghost	un fantasma				Noun	[]	Spanish
A Gift	礼物	lǐ wù			Noun	[]	Chinese
A Gift	подарок			podarok	Noun	[]	Russian
A Girl	девочка			devočka	Noun	[]	Russian
A Girl	девочкой			devočkoj	Noun	[]	Russian
A Girl	девочку			devočku	Noun	[]	Russian
A Girlfriend	девушка			devuška	Noun	[]	Russian
A Glass	ガラス		ガラス		Noun, Katakana	[]	Japanese
A Glass	стакан			stakan	Noun	[]	Russian
A Glass Of	一杯	yī bēi			Noun	[]	Chinese
A Glass Of	стакан			stakan	Noun	[]	Russian
A Glass Of Ribera Del Duero Wine	una copa de vino Ribera del Duero				Noun	[]	Spanish
A Glass Of Rioja Wine	una copa de vino Rioja				Noun	[]	Spanish
A Goal	marquer				Verb	[]	French
A Goal/point	marquer				Verb	[]	French
A Good	хорошая			horošaâ	Noun	[]	Russian
A Good	хорошего			horošego	Noun	[]	Russian
A Good	хорошее			horošee	Noun	[]	Russian
A Good	хорошей			horošej	Noun	[]	Russian
A Good	хороший			horošij	Noun	[]	Russian
A Good	хорошую			horošuû	Noun	[]	Russian
A Grandson	внук			vnuk	Noun	[]	Russian
A Gray	серый			seryj	Noun	[]	Russian
A Great	отличный			otličnyj	Noun	[]	Russian
A Great Deal	大きく		おおきく		Noun	[]	Japanese
A Green	зелёная			zelënaâ	Noun	[]	Russian
A Green	зелёный			zelënyj	Noun	[]	Russian
A Greeting Card	una felicitación				Noun	[]	Spanish
A Group	группа			gruppa	Noun	[]	Russian
A Group Of	un grupo de				Noun	[]	Spanish
A Guitar	гитара			gitara	Noun	[]	Russian
A Guitar Player	Gitarrist				Noun	[]	German
A Haircut	un corte de pelo				Noun	[]	Spanish
A Halloween Party	una fiesta de Halloween				Noun	[]	Spanish
A Hammer	un martillo				Noun	[]	Spanish
A Hand	帮助	bāng zhù			Noun	[]	Chinese
A Hand	die Hand				Noun	[]	German
A Hand	die Hilfe				Noun	[]	German
A Hand	die Unterstützung				Noun	[]	German
A Hand	eine Hand				Noun	[]	German
A Hand	Hand				Noun	[]	German
A Hand	Hilfe				Noun	[]	German
A Hand	Unterstützung				Noun	[]	German
A Hand	手		て		Noun	[]	Japanese
A Hand	помощь			pomoŝʹ	Noun	[]	Russian
A Handbag	un bolso				Noun	[]	Spanish
A Handyman	Handwerker				Noun	[]	German
A Hare	заяц			zaâc	Noun	[]	Russian
A Hashtag	un hashtag				Noun	[]	Spanish
A Hashtag	una almohadilla				Noun	[]	Spanish
A Hat	un sombrero				Noun	[]	Spanish
A Haunted House	una casa embrujada				Noun	[]	Spanish
A Haunted House	una casa encantada				Noun	[]	Spanish
A Head	голова			golova	Noun	[]	Russian
A Head Massage	un masaje craneal				Noun	[]	Spanish
A Hedgehog	ёж			ëž	Noun	[]	Russian
A Helicopter	un helicóptero				Noun	[]	Spanish
A Hen	курица			kurica	Noun	[]	Russian
A Higher	более			bolee	Noun	[]	Russian
A Highway	шоссе			šosse	Noun	[]	Russian
A Historic Event	un hecho histórico				Noun	[]	Spanish
A Hole	reboucher				Verb	[]	French
A Holiday	праздник			prazdnik	Noun	[]	Russian
A Home	一家		いっか		Noun	[]	Japanese
A Horse	лошади			lošadi	Noun	[]	Russian
A Horse	лошадь			lošadʹ	Noun	[]	Russian
A Hospital	больница			bolʹnica	Noun	[]	Russian
A Hot	горячий			gorâčij	Noun	[]	Russian
A Hotel	отель			otelʹ	Noun	[]	Russian
A House	дом			dom	Noun	[]	Russian
A House	дома			doma	Noun	[]	Russian
A House	una casa				Noun	[]	Spanish
A Household	一家		いっか		Noun	[]	Japanese
A Huge	огромный			ogromnyj	Noun	[]	Russian
A Human	человек			čelovek	Noun	[]	Russian
A Human	человека			čeloveka	Noun	[]	Russian
A Hundred	cent				Numeral	[]	French
A Hundred	Hundert				Noun	[]	German
A Hundred	со́тня			sotnja	Noun	[]	Russian
A Hundred	сто			sto	Noun	[]	Russian
A Hundred	ciento				Noun	[]	Spanish
A Husband	муж			muž	Noun	[]	Russian
A Jacket	куртка			kurtka	Noun	[]	Russian
A Jack-O-Lantern	una calabaza de Halloween				Noun	[]	Spanish
A Japanese	японец			âponec	Noun	[]	Russian
A Job	работа			rabota	Noun	[]	Russian
A Joke	шутка			šutka	Noun	[]	Russian
A Journalist	Journalist				Noun	[]	German
A Journalist	журналист			žurnalist	Noun	[]	Russian
A Judge	судья			sudʹâ	Noun	[]	Russian
A Jump	прыжо́к			pryzhok	Noun	[]	Russian
A Key	重点	zhòngdiǎn			Noun	[]	Chinese
A Key	ключ			klûč	Noun	[]	Russian
A Kilogram	килограмм			kilogramm	Noun	[]	Russian
A Kilometer	километр			kilometr	Noun	[]	Russian
A Kind	добрый			dobryj	Noun	[]	Russian
A Kiosk	киоск			kiosk	Noun	[]	Russian
A Kitchen	кухня			kuhnâ	Noun	[]	Russian
A Kitchen Sink	un fregadero				Noun	[]	Spanish
A Kitchen Sink	una pila				Noun	[]	Spanish
A Kitchen Stove	炉灶	lúzào			Noun	[]	Chinese
A Kitten	котёнок			kotënok	Noun	[]	Russian
A Knife	нож			nož	Noun	[]	Russian
A Laboratory	лаборатория			laboratoriâ	Noun	[]	Russian
A Laborer	рабочий			rabočij	Noun	[]	Russian
A Lake	озеро			ozero	Noun	[]	Russian
A Lamp	лампа			lampa	Noun	[]	Russian
A Large	большое			bolʹšoe	Noun	[]	Russian
A Large	большой			bolʹšoj	Noun	[]	Russian
A Large Amount	大量	dà liàng			Noun	[]	Chinese
A Lawyer	Anwalt				Noun	[]	German
A Lawyer	Anwältin				Noun	[]	German
A Lawyer	адвокат			advokat	Noun	[]	Russian
A Lawyer	юрист			ûrist	Noun	[]	Russian
A Leader	лидер			lider	Noun	[]	Russian
A Leaf	лист			list	Noun	[]	Russian
A Leak	una filtración				Noun	[]	Spanish
A Leak	una gotera				Noun	[]	Spanish
A Leisurely Life	のんびり		のんびり		Noun	[]	Japanese
A Lemon	лимон			limon	Noun	[]	Russian
A Letter	буква			bukva	Noun	[]	Russian
A Letter	письмо			pisʹmo	Noun	[]	Russian
A Library	библиотека			biblioteka	Noun	[]	Russian
A Lie	嘘		うそ		Noun	[]	Japanese
A Lie	ложь			ložʹ	Noun	[]	Russian
A Life	жизнь			žiznʹ	Noun	[]	Russian
A Lifetime	一辈子	yíbèizi			Noun	[]	Chinese
A Lifetime	一生		いっしょう		Noun	[]	Japanese
A Lion	лев			lev	Noun	[]	Russian
A Literary Creation	创作	chuàngzuò			Noun	[]	Chinese
A Little	一点	yì diǎn			Noun	[]	Chinese
A Little	一点儿	yī diǎn ér			Noun	[]	Chinese
A Little	一点点	yì diǎn diǎn			Noun	[]	Chinese
A Little	有一点	yǒu yì diǎn			Noun	[]	Chinese
A Little	有点	yǒu diǎn			Noun	[]	Chinese
A Little	有点儿	yǒu diǎn ér			Noun	[]	Chinese
A Little	点	diǎn			Noun	[]	Chinese
A Little	peu				Noun	[]	French
A Little	un peu d'				Noun	[]	French
A Little	bisschen				Verb	[]	German
A Little	die Kleine				Noun	[]	German
A Little	ein bisschen				Verb	[]	German
A Little	ein kleines				Verb	[]	German
A Little	eine kleine				Verb	[]	German
A Little	eine kleinen				Verb	[]	German
A Little	etwas				Verb	[]	German
A Little	ちょっと		ちょっと		Adverb	[]	Japanese
A Little	なんか		なんか		Adverb	[]	Japanese
A Little	多少		たしょう		Noun, Adverb	[]	Japanese
A Little	小さい		ちいさい		Adverb	[]	Japanese
A Little	小さな		ちいさな		Adverb	[]	Japanese
