English	Russian	Latin Letters	Part of Speech
A Few	некоторых	nekotoryh	Interrogative Pronoun
A Few	на пару	na paru	Interrogative Pronoun
A Field	по́ле	pole	Noun
A Figure	фигура	figura	Noun
A Fire	пожа́р	pozhar	Noun
A Fish	рыба	ryba	Noun
A Flag	флаг	flag	Noun
A Flock	ста́я	staja	Adjective
A Foreign	иностранный	inostrannyj	Noun
A Foreigner	иностранец	inostranec	Noun
A Fort	крепость	krepostʹ	Noun
A Four-Wheeled Cart With A Low Body And A Shaft Or Drawbar Team For Transporting Someone	теле́га	telega	Noun
A Fox	лиса	lisa	Noun
A French	французский	francuzskij	Noun
A Fridge	холодильник	holodilʹnik	Noun
A Frog	лягушка	lâguška	Noun
A Funny	смешной	smešnoj	Noun
A Funny Short Story	анекдо́т	anekdot	Noun
A Gallery	галерея	galereâ	Noun
A Game	игра	igra	Noun
A Game	матч	matč	Noun
A Gate	выход	vyhod	Noun
A German	немецкий	nemeckij	Noun
A Gift	подарок	podarok	Noun
A Girl	девочка	devočka	Noun
A Girl	девочкой	devočkoj	Noun
A Girl	девочку	devočku	Noun
A Girlfriend	девушка	devuška	Noun
A Glass	стакан	stakan	Noun
A Glass Of	стакан	stakan	Noun
A Good	хорошая	horošaâ	Noun
A Good	хорошего	horošego	Noun
A Good	хорошее	horošee	Noun
A Good	хорошей	horošej	Noun
A Good	хороший	horošij	Noun
A Good	хорошую	horošuû	Noun
A Grandson	внук	vnuk	Noun
A Gray	серый	seryj	Noun
A Great	отличный	otličnyj	Noun
A Green	зелёная	zelënaâ	Noun
A Green	зелёный	zelënyj	Noun
A Group	группа	gruppa	Noun
A Guitar	гитара	gitara	Noun
A Hand	помощь	pomoŝʹ	Noun
A Hare	заяц	zaâc	Noun
A Head	голова	golova	Noun
A Hedgehog	ёж	ëž	Noun
A Hen	курица	kurica	Noun
A Higher	более	bolee	Noun
A Highway	шоссе	šosse	Noun
A Holiday	праздник	prazdnik	Noun
A Horse	лошади	lošadi	Noun
A Horse	лошадь	lošadʹ	Noun
A Hospital	больница	bolʹnica	Noun
A Hot	горячий	gorâčij	Noun
A Hotel	отель	otelʹ	Noun
A House	дом	dom	Noun
A House	дома	doma	Noun
A Huge	огромный	ogromnyj	Noun
A Human	человек	čelovek	Noun
A Human	человека	čeloveka	Noun
A Hundred	со́тня	sotnja	Noun
A Hundred	сто	sto	Noun
A Husband	муж	muž	Noun
A Jacket	куртка	kurtka	Noun
A Japanese	японец	âponec	Noun
A Job	работа	rabota	Noun
A Joke	шутка	šutka	Noun
A Journalist	журналист	žurnalist	Noun
A Judge	судья	sudʹâ	Noun
A Jump	прыжо́к	pryzhok	Noun
A Key	ключ	klûč	Noun
A Kilogram	килограмм	kilogramm	Noun
A Kilometer	километр	kilometr	Noun
A Kind	добрый	dobryj	Noun
A Kiosk	киоск	kiosk	Noun
A Kitchen	кухня	kuhnâ	Noun
A Kitten	котёнок	kotënok	Noun
A Knife	нож	nož	Noun
A Laboratory	лаборатория	laboratoriâ	Noun
A Laborer	рабочий	rabočij	Noun
A Lake	озеро	ozero	Noun
A Lamp	лампа	lampa	Noun
A Large	большое	bolʹšoe	Noun
A Large	большой	bolʹšoj	Noun
A Lawyer	адвокат	advokat	Noun
A Lawyer	юрист	ûrist	Noun
A Leader	лидер	lider	Noun
A Leaf	лист	list	Noun
A Lemon	лимон	limon	Noun
A Letter	буква	bukva	Noun
A Letter	письмо	pisʹmo	Noun
A Library	библиотека	biblioteka	Noun
A Lie	ложь	ložʹ	Noun
A Life	жизнь	žiznʹ	Noun
A Lion	лев	lev	Noun
A Little	маленький	malenʹkij	Verb
A Little	маленькое	malenʹkoe	Verb
A Little	немно́го	nemnogo	Verb
A Little	немно́жко	nemnozhko	Verb
A Little	немного	nemnogo	Verb
A Little	слегка́	slegka	Verb
A Little	чуть	chut'	Verb
A Little	чуть-чуть	čutʹ-čutʹ	Verb
A Little Girl	девочка	devočka	Noun
A Logically Dissected General Idea About A Subject	поня́тие	ponjatie	Noun
A Long	длинную	dlinnuû	Noun
A Long	длинный	dlinnyj	Noun
A Long	долгий	dolgij	Noun
A Long Time	до́лго	dolgo	Noun
A Long Time Ago	давно	davno	Adverb
A Long Time Ago	давно́	davno	Adverb
A Long Way	далеко	daleko	Noun
A Lot	гораздо	gorazdo	Noun
A Lot	ку́ча	kuča	Noun
A Lot	много	mnogo	Noun
A Lot	сильно	sil'no	Noun
A Lot	многое	mnogoe	Noun
A Lot	очень	ochen'	Noun
A Lot	часто	chasto	Noun
A Lot Of	мно́го	mnogo	Noun
A Lot Of	много	mnogo	Noun
A Loud	громкая	gromkaâ	Noun
A Loud	громкий	gromkij	Noun
A Machine	аппарат	apparat	Noun
A Magazine	журнал	žurnal	Noun
A Man	мужчина	mužčina	Noun
A Map	карта	karta	Noun
A Match	матч	matč	Noun
A Matter	дело	delo	Noun
A Meeting	собрание	sobranie	Noun
A Message	сообщение	soobŝenie	Noun
A Meter	метр	metr	Noun
A Million	миллион	million	Noun
A Minute	минута	minuta	Noun
A Mirror	зеркало	zerkalo	Noun
A Mom	мама	mama	Noun
A Month	месяц	mesâc	Noun
A Mosquito	комар	komar	Noun
A Mother	мама	mama	Noun
A Motorcycle	мотоцикл	motocikl	Noun
A Mouse	мышь	myšʹ	Noun
A Movie	фильм	filʹm	Noun
A Museum	музей	muzej	Noun
A Name	имя	imâ	Noun
A Neighbor	сосед	sosed	Noun
A Nest	гнездо	gnezdo	Noun
A Net	сеть	setʹ	Noun
A New	новая	novaâ	Noun
A New	нового	novogo	Noun
A New	новой	novoj	Noun
A New	новую	novuû	Noun
A New	новый	novyj	Noun
A New One	новую	novuû	Noun
A Newspaper	газета	gazeta	Noun
A Night	ночь	nočʹ	Noun
A Nose	нос	nos	Noun
A Notebook	тетрадь	tetradʹ	Noun
A Novel	роман	roman	Noun
A Number	число	čislo	Noun
A Number Of	число	čislo	Noun
A Nut	оре́х	oreh	Noun
A Pack	ста́я	staja	Adjective
A Painter	художник	hudožnik	Noun
A Painting	картина	kartina	Noun
A Pair Of Pants	штаны	štany	Noun
A Park	парк	park	Noun
A Part	часть	častʹ	Noun
A Pass	пропуск	propusk	Noun
A Patronymic	отчество	otčestvo	Noun
A Pen	ручка	ručka	Noun
A Pencil	карандашом	karandašom	Noun
A Penguin	пингвин	pingvin	Noun
A Period	точка	točka	Noun
A Permit	пропуск	propusk	Noun
A Person	человек	čelovek	Noun
A Person	человеком	čelovekom	Noun
A Pet	домашний	domašnij	Noun
A Pharmacy	аптека	apteka	Noun
A Phone	телефон	telefon	Noun
A Picture	картинка	kartinka	Noun
A Picture	фотография	fotografiâ	Noun
A Piece	кусо́к	kusok	Noun
A Piece	кусок	kusok	Noun
A Piece Of	кусочек	kusochek	Noun
A Piece Of	кусок	kusok	Noun
A Pig	свинья	svinʹâ	Noun
A Pillow	подушка	poduška	Noun
A Pink	розовый	rozovyj	Noun
A Pity	жаль	žalʹ	Noun
A Place	место	mesto	Noun
A Plan	план	plan	Noun
A Planet	планета	planeta	Noun
A Plant	растение	rastenie	Noun
A Plate	тарелка	tarelka	Noun
A Plate	тарелки	tarelki	Noun
A Plate	тарелку	tarelku	Noun
A Play	пьеса	pʹesa	Noun
A Poet	поэт	poét	Noun
A Preliminary Intention	предположе́ние	predpolozhenie	Noun
A Present	подарок	podarok	Noun
A Prison	тюрьма	tûrʹma	Noun
A Problem	проблема	problema	Noun
A Process	процесс	process	Noun
A Program	программа	programma	Noun
A Puppy	щенок	ŝenok	Noun
A Push	толчо́к	tolchok	Noun
A Quarter	че́тверть	četvertʹ	Verb
A Quarter	четверть	četvertʹ	Verb
A Quarter Of	четверть	četvertʹ	Noun
A Question	вопрос	vopros	Noun
A Quick	быстрый	bystryj	Noun
A Quiet	тихая	tihaâ	Noun
A Quiet	тихий	tihij	Noun
A Rat	крыса	krysa	Noun
A Real	настоящий	nastoâŝij	Noun
A Rectangle	прямоугольник	prâmougolʹnik	Noun
A Red	красная	krasnaâ	Noun
A Red	красное	krasnoe	Noun
A Red	красную	krasnuû	Noun
A Red One	красную	krasnuû	Noun
A Report	отчёт	otchet	Noun
A Ride	подвезти	podvezti	Noun
A Right	право	pravo	Noun
A River	река	reka	Noun
A Robot	робот	robot	Noun
A Roof	крыша	kryša	Noun
A Room	комната	komnata	Noun
A Rooster	петух	petuh	Noun
A Root	корень	korenʹ	Noun
A Rose	роза	roza	Noun
A Round	круглый	kruglyj	Noun
A Round Of Applause	аплодисменты	aplodismenty	Noun
A Rule	правило	pravilo	Noun
A Russian	россиянин	rossiânin	Noun
A Russian	русский	russkij	Noun
A Sad	грустный	grustnyj	Noun
A Salad	салат	salat	Noun
A Salary	зарплата	zarplata	Noun
A Salesperson	продавец	prodavec	Noun
A Sandwich	бутерброд	buterbrod	Noun
A Scarf	шарф	šarf	Noun
A School	школы	školy	Noun
A Seagull	чайка	čajka	Noun
A Search	поиск	poisk	Noun
A Secret	секрет	sekret	Noun
A Secretary	секретарь	sekretarʹ	Noun
A Sentence	предложение	predloženie	Noun
A Server	официант	oficiant	Noun
A Shame	жаль	žalʹ	Noun
A Shape	фигура	figura	Noun
A Shark	акула	akula	Noun
A Sheep	овца	ovca	Noun
A Sheet	лист	list	Noun
A Shelf	полка	polka	Noun
A Shirt	рубашка	rubaška	Noun
A Shooting	стрельба́	strel'ba	Noun
A Shop	магази́н	magazin	Noun
A Short	короткий	korotkij	Noun
A Short Story	рассказ	rasskaz	Noun
A Shot	вы́стрел	vystrel	Noun
A Shot	выстрел	vystrel	Noun
A Show	передача	peredača	Noun
A Shower	душ	duš	Noun
A Side Of	порция	portsija	Noun
A Sister	сестра	sestra	Noun
A Sister	сестры	sestry	Noun
A Size	размер	razmer	Noun
A Skirt	юбка	ûbka	Noun
A Small	маленький	malenʹkij	Noun
A Small	маленькое	malenʹkoe	Noun
A Snake	змея	zmeâ	Noun
A Sock	носок	nosok	Noun
A Sofa	диван	divan	Noun
A Son	сын	syn	Noun
A Song In The Hip-Hop Genre Rap Verses	теле́га	telega	Noun
A Sound	звук	zvuk	Noun
A Soup	суп	sup	Noun
A Spider	паук	pauk	Noun
A Splendid	прекрасный	prekrasnyj	Noun
A Spoon	ложка	ložka	Noun
A Sport	спорт	sport	Noun
A Square	квадрат	kvadrat	Noun
A Square	площадь	ploŝadʹ	Noun
A Squirrel	белка	belka	Noun
A Star	звезда	zvezda	Noun
A Station	станция	stanciâ	Noun
A Steal	выгодная покупка	vygodnaja pokupka	Noun
A Steep Cliff	обры́в	obryv	Noun
A Stone	камень	kamenʹ	Noun
A Stop	остановка	ostanovka	Noun
A Stop	остановке	ostanovke	Noun
A Store	магазин	magazin	Noun
A Strange	странный	strannyj	Noun
A Student	студент	student	Noun
A Student	студентка	studentka	Noun
A Student	ученик	učenik	Noun
A Subway	метро	metro	Noun
A Suit	костюм	kostûm	Noun
A Sweater	свитер	sviter	Noun
A Synagogue	синагога	sinagoga	Noun
A T-Shirt	футболка	futbolka	Noun
A Tad	чуть-чуть	čutʹ-čutʹ	Noun
A Tad Bit	чуть-чуть	čutʹ-čutʹ	Noun
A Tail	хвост	hvost	Noun
A Tank	танк	tank	Noun
A Teacher	учитель	učitelʹ	Noun
A Teacher	учителя	učitelâ	Noun
A Team	команда	komanda	Noun
A Tee Shirt	футболка	futbolka	Noun
A Telephone	телефон	telefon	Noun
A Television	телевизор	televizor	Noun
A Terrible	ужасный	užasnyj	Noun
A Text	сообщение	soobŝenie	Noun
A Thing	ничего	ničego	Noun
A Third	треть	tretʹ	Noun
A Thousand	ты́сяча	tysâča	Noun
A Thousand	тысяча	tysâča	Noun
A Ticket	билет	bilet	Noun
A Tiger	тигр	tigr	Noun
A Toilet	туалет	tualet	Noun
A Tomato	помидор	pomidor	Noun
A Ton	тонна	tonna	Noun
A Tortoise	черепаха	čerepaha	Noun
A Tourist	турист	turist	Noun
A Towel	полотенца	polotenca	Noun
A Toy	игрушка	igruška	Noun
A Toy	игрушку	igrušku	Noun
A Train	поезд	poezd	Noun
A Tree	дерево	derevo	Noun
A Triangle	треугольник	treugolʹnik	Noun
A Triangular	треугольный	treugolʹnyj	Noun
A Turn	поворо́т	povorot	Noun
A Turtle	черепаха	čerepaha	Noun
A University	университет	universitet	Noun
A Username	логин	login	Noun
A Vacation	отпуск	otpusk	Noun
A Video	видео	video	Noun
A Violin	скрипка	skripka	Noun
A Voice	голос	golos	Noun
A Volcano	вулкан	vulkan	Noun
A Waiter	официант	oficiant	Noun
A Wall	стена	stena	Noun
A Warm	тёплый	tëplyj	Noun
A Watch	час	čas	Noun
A Week	неделя	nedelâ	Noun
A White	белой	beloj	Noun
A White	белую	beluû	Noun
A White	белый	belyj	Noun
A Whole	целый	celyj	Noun
A Whole Lot	гораздо	gorazdo	Noun
A Wife	жена	žena	Noun
A Window	окно	okno	Noun
A Window	окном	oknom	Noun
A Wolf	волк	volk	Noun
A Woman	женщина	ženŝina	Noun
A Woman	женщиной	ženŝinoj	Noun
A Worker	рабо́чий	rabočij	Noun
A Writer	писатель	pisatelʹ	Noun
A Writer	писателю	pisatelû	Noun
A Written Note	заме́тка	zametka	Noun
A Yard	двор	dvor	Noun
A Year	год	god	Noun
A Yell	вопль	vopl'	Noun
A Yellow	жёлтая	žëltaâ	Noun
A Young	молодой	molodoj	Noun
A Younger	младшая	mladšaâ	Noun
A Younger	младший	mladšij	Noun
A Zoo	зоопарк	zoopark	Noun
Abandon	забро́сить	zabrosit'	Verb
Abandon	отказа́ться	otkazat'sja	Verb
Ability	спосо́бность	sposobnost'	Verb
Ability	способность	sposobnost'	Verb
Ability	уме́ние	umenie	Noun
Able	умеет	umeet	Noun
Able To	умеют	umejut	Noun
Aboard	борт	bort	Noun
About	в	v	Noun
About	за	za	Noun
About	из-за	iz-za	Noun
About	о	o	Noun
About	об	ob	Noun
About	обо	obo	Noun
About	около	okolo	Noun
About	по	po	Noun
About	про	pro	Noun
About	с	s	Noun
About A Man Of Very Tall Stature	верста́	versta	Noun
About A Person Very Big In A Field	величина́	velichina	Noun
About Cause Introduce	внести́	vnesti	Verb
About To	вот-вот	vot-vot	Noun
Above	наверху́	naverhu	Noun
Above	над	nad	Noun
Above	сверх	sverh	Noun
Above	вверху	vverhu	Noun
Abroad	за границей	za granitsei	Noun
Abruptly	ре́зко	rezko	Adverb
Abs	пресс	press	Noun
Absence	отсу́тствие	otsutstvie	Noun
Absent	нет	net	Noun
Absent	отсутствующий	otsutstvujuschii	Noun
Absolute	абсолю́тный	absoljutnyi	Noun
Absolute	по́лный	polnyj	Noun
Absolute	соверше́нный	sovershennyi	Noun
Absolutely	абсолю́тно	absoljutno	Adverb
Absolutely	ро́вно	rovno	Adverb
Absolutely	совершенно	soveršenno	Adverb
Absolutely Not	абсолютно нет	absoljutno net	Noun
Academic	академический	akademicheskii	Noun
Academician	акаде́мик	akademik	Noun
Academy	акаде́мия	akademiâ	Noun
Academy	академия	akademiâ	Noun
Academy	учи́лище	uchilische	Noun
Acceleration	ускорение	uskorenie	Noun
Accent	акце́нт	aktsent	Noun
Accent	акцент	aktsent	Noun
Accept	принять	prinâtʹ	Noun
Acceptable	допусти́мый	dopustimyi	Noun
Accepted	при́нятый	prinjatyi	Verb
Accepting	принимать	prinimatʹ	Verb
Access	до́ступ	dostup	Verb
Access	получи́ть	polučitʹ	Verb
Access Route	подъе́зд	pod'ezd	Noun
Accessible	досту́пный	dostupnyi	Noun
Accessible	доступный	dostupnyi	Noun
Accessory	аксессуар	aksessuar	Noun
Accident	случайно	sluchaino	Noun
Accident	несчастном случае	neschastnom sluchae	Noun
Accident	несчастный случай	neschastnyi sluchai	Noun
Accident	авария	avarija	Noun
Accident	аварии	avarii	Noun
Accident	аварию	avariju	Noun
Accidental	случа́йный	sluchainyi	Noun
Accidentally	случайно	sluchaino	Adverb
Accidentally Left	забыла	zabyla	Noun
Accommodations	жилье	zhil'e	Noun
Accommodations	проживание	prozhivanie	Noun
Accomplishment	достижение	dostizhenie	Noun
According To	по мнению	po mneniû	Adverb
According To	по словам	po slovam	Adverb
According To	согла́сно	soglasno	Adverb
According To	согласно	soglasno	Adverb
Account	счёт	schet	Noun
Accountant	бухгалтером	buhgalterom	Noun
Accountant	бухгалтеров	buhgalterov	Noun
Accountant	бухгалтер	buhgalter	Noun
Accountant	бухгалтерами	buhgalterami	Noun
Accounting	учёт	uchet	Verb
Accrue	нараста́ть	narastat'	Verb
Accurate	аккура́тный	akkuratnyi	Adverb
Accurate	то́чно	točno	Adverb
Accurately	аккура́тно	akkuratno	Adverb
Accusation	обвинение	obvinenie	Noun
Accusations Charges Allegations	обвине́ние	obvinenie	Noun
Accuse	обвинять	obvinjat'	Noun
Accustomed	привы́чный	privychnyi	Verb
Aches	болит	bolit	Noun
Achievement	достиже́ние	dostizhenie	Noun
Aching	болеть	boletʹ	Verb
Acknowledge	призна́ть	priznat'	Verb
Acknowledgement Recognition	призна́ние	priznanie	Noun
Acquaintance	знако́мство	znakomstvo	Noun
Acquaintance	знакомый	znakomyj	Noun
Acquainted	знако́мый	znakomyj	Verb
Acquire	приобрести́	priobresti	Verb
Acquit	оправда́ть	opravdat'	Verb
Across	за	za	Noun
Across	на другой стороне	na drugoi storone	Noun
Across	на другую сторону	na druguju storonu	Noun
Across	через	cherez	Noun
Across	по	po	Noun
Across	напротив	naprotiv	Noun
Across	на той стороне	na toi storone	Noun
Across	поперёк	poperek	Noun
Across	че́рез	čerez	Noun
Across From	напротив	naprotiv	Noun
Act	акт	akt	Verb
Act	действием	deistviem	Verb
Act	актом	aktom	Verb
Act	действие	deistvie	Verb
Act	поступа́ть	postupat'	Verb
Act Action Or Deed	посту́пок	postupok	Noun
Act Out	сыгра́ть	sygrat'	Verb
Action	а́кция	aktsija	Noun
Action	де́йствие	deistvie	Noun
Action	действие	deistvie	Noun
Action Movie	боеви́к	boevik	Noun
Action Movie	боевик	boevik	Noun
Action Of Receiving	получе́ние	poluchenie	Noun
Actions	действия	dejstviâ	Noun
Active	акти́вный	aktivnyi	Noun
Active	де́йствующий	deistvujuschii	Noun
Actively	акти́вно	aktivno	Adverb
Activities	занятия	zanâtiâ	Noun
Activity	акти́вность	aktivnost'	Verb
Activity	де́ятельность	dejatel'nost'	Verb
Actor	актёр	aktër	Noun
Actor	артист	artist	Noun
Actress	актриса	aktrisa	Noun
Actually	вообще-то	voobŝe-to	Adverb
Actually	дело в том	delo v tom	Adverb
Actually	на самом деле	na samom dele	Adverb
Actually	факти́чески	fakticheski	Adverb
Add	доба́вить	dobavit'	Verb
Add	добавля́ть	dobavljat'	Verb
Add	сложи́ть	slozhit'	Verb
Add To	приба́вить	pribavit'	Verb
Addiction	зави́симость	zavisimost'	Verb
Additional	дополни́тельный	dopolnitel'nyi	Noun
Address	а́дрес	adres	Noun
Address	адрес	adres	Noun
Adjust	привыкать	privykat'	Noun
Adjust	привыкнуть	privyknutʹ	Noun
Adjusted	привыкнуть	privyknutʹ	Verb
Administration	администра́ция	administratsija	Noun
Administration	прави́тельство	pravitelʹstvo	Noun
Administration	управле́ние	upravlenie	Noun
Administrator	администратор	administrator	Noun
Admirable	достойное	dostoinoe	Noun
Admirable	достойны	dostoiny	Noun
Admirable	достойной	dostoinoi	Noun
Admirable	восхитительный	voshititel'nyi	Noun
Admirable	достойна	dostoina	Noun
Admiral	адмира́л	admiral	Noun
Admiration	восхище́ние	voshischenie	Noun
Admire	нравится	nravitsâ	Noun
Admire	ценить	tsenit'	Noun
Admire	восхищение	voshischenie	Noun
Admire	восхищаться	voshischat'sja	Noun
Admissible	допусти́мый	dopustimyi	Noun
Admission	вход	vhod	Noun
Admission	приём	priem	Noun
Admission	приёмный	priemnyi	Noun
Admit	призна́ть	priznat'	Verb
Admit	признают	priznajut	Verb
Admit	признаю	priznaju	Verb
Admittedly	надо признать	nado priznat'	Adverb
Adult	взро́слый	vzroslyj	Noun
Adult	взрослый	vzroslyj	Noun
Advanced	передово́й	peredovoi	Verb
Advanced	ра́звитый	razvityi	Verb
Advantage	досто́инство	dostoinstvo	Noun
Advantage	преиму́щество	preimuschestvo	Noun
Advantage	преимущество	preimuschestvo	Noun
Advantageous	вы́годный	vygodnyi	Noun
Adventure	приключе́ние	prikljuchenie	Noun
Adversary	проти́вник	protivnik	Noun
Advertisement	объявлений	ob'javlenii	Noun
Advertisement	реклама	reklama	Noun
Advertisement	рекламного	reklamnogo	Noun
Advertisement	рекла́ма	reklama	Noun
Advertising	реклама	reklama	Verb
Advice	сове́т	sovet	Noun
Advice	совет	sovet	Noun
Advise	посове́товать	posovetovat'	Verb
Advise	сове́товать	sovetovat'	Verb
Advise	советую	sovetuju	Verb
Advise	советуем	sovetuem	Verb
Adviser	сове́тник	sovetnik	Noun
Advocate	адвока́т	advokat	Noun
Afar	далеко	daleko	Noun
Affair	дело	delo	Noun
Affair	исто́рия	istoriâ	Noun
Affection	любо́вь	lûbovʹ	Verb
Affection	не́жность	nezhnost'	Verb
Affectionate	ла́сковый	laskovyi	Noun
Affectionately	ла́сково	laskovo	Adverb
Afford	позволить себе	pozvolit' sebe	Verb
Afford	потяну́ть	potjanut'	Verb
Afford To	позволить	pozvolit'	Noun
Afford To	мочь	moch'	Noun
Afford To	иметь возможность	imet' vozmozhnost'	Noun
Afford To	позволять	pozvoljat'	Noun
Afford To	позволять себе	pozvoljat' sebe	Noun
Afford To	быть в состоянии	byt' v sostojanii	Noun
Afraid	испуган	ispugan	Noun
