English	German	Part of Speech
Additionally	nebenbei	Adverb
Additionally	zusätzlich	Adverb
Address	Adresse	Noun
Addressed	ansprechen	Verb
Addressee	Empfänger	Noun
Adequately	angemessen	Verb
Adequately	genügend	Verb
Adherent	Anhänger	Noun
Adhesive Stick	Klebestift	Noun
Adjust	Ausrichten	Noun
Adjust	Berichtige	Noun
Adjust	Gewöhnen	Noun
Adjust	Gewöhnst	Noun
Adjust	Korrigiere	Noun
Adjust	Korrigieren	Noun
Adjust	Regelt	Noun
Adjust	Richte	Noun
Adjust	Verändere	Noun
Adjust	Ändern	Noun
Adjusted	anpassen	Verb
Adjusted	gewöhnt	Verb
Adjusting	gewöhnt	Verb
Adjustment	die Einstellung	Noun
Adjustment	die Korrektur	Noun
Adjustment	Einstellung	Noun
Adjustment	Korrektur	Noun
Adler	Adlers	Noun
Administration	Bürokratie	Noun
Administration	die Verwaltung	Noun
Administration	Sekretariat	Noun
Administration	Verwaltung	Noun
Administrative Office	Amt	Noun
Administrative Office	Sekretariat	Noun
Admission	Eintritt	Noun
Admission Card	Zutrittskarte	Noun
Admission Price	Eintrittspreis	Noun
Admission Ticket	Eintrittskarte	Noun
Admission Tickets	Eintrittskarten	Noun
Admission To A University	der Studienplatz	Noun
Admitted	Bekannte	Verb
Admittedly	zugegebenermaßen	Adverb
Admitting	zugeben	Verb
Adopt	Adoptieren	Noun
Adopt	Übernimm	Noun
Adopting	adoptieren	Verb
Adopting	annehmen	Verb
Adopting	übernehmen	Verb
Adoption	Adoption	Noun
Adult	Erwachsene	Noun
Adult	Erwachsener	Noun
Adults	Erwachsene	Noun
Advance Sale	Vorverkauf	Noun
Advance Ticket Sales	Vorverkauf	Noun
Advanced Training	die Weiterbildung	Noun
Advanced Training	Weiterbildung	Noun
Advances	der Fortschritt	Noun
Advances	Fortschritt	Noun
Advantage	der Vorteil	Noun
Advantage	Vorteil	Noun
Advantages	Vorteile	Noun
Adventure	Abenteuer	Noun
Adventures	Abenteuer	Noun
Adversaries	Gegner	Noun
Adversary	Gegner	Noun
Adverse Effect	die Nebenwirkung	Noun
Adverse Effect	Nebenwirkung	Noun
Advertisement	Anzeige	Noun
Advertisement	die Anzeige	Noun
Advertisement	Werbung	Noun
Advertising	Werbung	Verb
Advice	Beratung	Noun
Advice	der Rat	Noun
Advice	Rat	Noun
Advice	Rate	Noun
Advices	Rate	Noun
Advise	Rate	Noun
Advise/am Advising	Rate	Noun
Advised	beraten	Verb
Adviser	Berater	Noun
Advisers	Berater	Noun
Advising	beraten	Verb
Advising	empfehlen	Verb
Advising	raten	Verb
Advisor	Ansprechpartner	Noun
Advisor	Mentor	Noun
Advocate	Anwalt	Noun
Advocate	Befürworter	Noun
Aerial	Antenne	Noun
Affair	Affäre	Noun
Affair	Angelegenheit	Noun
Affair	das Ding	Noun
Affair	das Verhältnis	Noun
Affair	die Geschichte	Noun
Affair	die Kiste	Noun
Affair	Ding	Noun
Affair	Geschichte	Noun
Affair	Geschäfte	Noun
Affair	Kiste	Noun
Affair	Verhältnis	Noun
Affected	betroffen	Verb
Affecting	beeinflussen	Verb
Affluence	der Wohlstand	Noun
Affluence	Wohlstand	Noun
Affluent	das Reich	Noun
Affordable New Building	Neubau	Noun
Africa	Afrika	Noun
After-Party	Afterparty	Noun
After-Party	Ausklang	Noun
After-Party	Nachfeier	Noun
After-Sales Service	Kundendienst	Noun
After-School Program	Hort	Noun
Afternoon	Nachmittag	Noun
Against	Entgegen	Noun
Age	Alter	Noun
Age	das Zeitalter	Noun
Age	die Generation	Noun
Age	Generation	Noun
Age	Zeitalter	Noun
Agency	Agentur	Noun
Agency	Behörde	Noun
Agency	die Filiale	Noun
Agency	Filiale	Noun
Agency	Geschäftsstelle	Noun
Agency	Vermittlung	Noun
Agency's	Agentur	Noun
Agency's	Amt	Noun
Agency's	Behörde	Noun
Agenda	Tagesordnung	Noun
Agenda	Terminplan	Noun
Ages	Alter	Noun
Ages	die Ewigkeit	Noun
Ages	Ewigkeit	Noun
Aggressively	aggressiv	Adverb
Agree On	aushandeln	Verb
Agree On	festlegen	Verb
Agree On	sich einigen auf	Verb
Agree On	vereinbaren	Verb
Agreeably	angenehm	Adverb
Agreed	einig	Verb
Agreed	einverstanden	Verb
Agreeing	zustimmen	Verb
Agreement	Abkommen	Noun
Agreement	Abmachung	Noun
Agreement	Abstimmung	Noun
Agreement	der Konsens	Noun
Agreement	die Vereinbarung	Noun
Agreement	die Zusage	Noun
Agreement	die Übereinstimmung	Noun
Agreement	Einigung	Noun
Agreement	Harmonie	Noun
Agreement	Konsens	Noun
Agreement	Vereinbarung	Noun
Agreement	Vertrag	Noun
Agreement	Zusage	Noun
Agreement	Übereinkunft	Noun
Agreement	Übereinstimmung	Noun
Agriculture	Landwirtschaft	Noun
Aid	die Rettung	Noun
Aid	Hilfsmittel	Noun
Aid	Rettung	Noun
Aiding	unterstützend	Verb
Aids	die Unterstützung	Noun
Aids	Unterstützung	Noun
Aim	der Vorsatz	Noun
Aim	Vorsatz	Noun
Aims	Ziele	Noun
Air	Luft	Noun
Air Balloon	Luftballon	Noun
Air Conditioner	Klimaanlage	Noun
Air Conditioning	Klimaanlage	Noun
Air Contamination	Luftverschmutzung	Noun
Air Pollution	Luftverschmutzung	Noun
Aircraft	Flugzeug	Noun
Aircraft	Luftfahrzeug	Noun
Airline	die Fluggesellschaft	Noun
Airline	Fluggesellschaft	Noun
Airline	Fluglinie	Noun
Airplane	Flugzeug	Noun
Airport	Flughafen	Noun
Airport's	Flughafen	Noun
Airtight Container	Frischhaltedose	Noun
Aisle	der Gang	Noun
Aisle	Gang	Noun
Aisle	Seitenschiff	Noun
Alarm	Alarmanlage	Noun
Alarm	Alarms	Noun
Alarm	die Alarmanlage	Noun
Alarm	Wecker	Noun
Alarm	Weckers	Noun
Alarm Clock	Wecker	Noun
Alarming	beunruhigend	Verb
Album	das Album	Noun
Albumin	Eiweiß	Noun
Albums	Album	Noun
Albums	das Album	Noun
Alcohol	Alkohol	Noun
Alcohol	Alkoholisches	Noun
Alcohol	Alkohols	Noun
Alcohol Screening Test	Alkoholtest	Noun
Alcohol Test	Alkoholtest	Noun
Alcoholic	Alkoholiker	Noun
Alcoholic	Alkoholikerin	Noun
Alerts	Alarm	Noun
Alerts	der Hinweis	Noun
Alerts	Hinweis	Noun
Alerts	Warnung	Noun
Alex	Alex	Noun
Alibi	Alibi	Noun
Alien	Ausländer	Noun
Alien	Ausländerin	Noun
Alien	Außerirdische	Noun
Alien	Außerirdischen	Noun
Alien	Außerirdischer	Noun
Align	Ausrichten	Noun
Align	Richte	Noun
Aligned	kompatibel	Verb
All	allen	Adverb
All	aller	Adverb
All	alles	Adverb
All	ganz	Adverb
All	jede	Adverb
All	jedem	Adverb
All	jeden	Adverb
All	jeder	Adverb
All	jedes	Adverb
All Around	all	Adverb
All The	umso	Adverb
All Together	insgesamt	Adverb
Allegation	der Vorwurf	Noun
Allegation	Vorwurf	Noun
Allegedly	angeblich	Adverb
Allegiance	die Treue	Noun
Allegiance	Treue	Noun
Allergic Rash	Ausschlag	Noun
Allergies	Allergien	Noun
Allergy	Allergie	Noun
Allergy Examination	Allergietest	Noun
Allergy Screening	Allergietest	Noun
Allergy Test	Allergietest	Noun
Alley	Gasse	Noun
Alleys	Gasse	Noun
Alliance	Allianz	Noun
Alliance	Bund	Noun
Alliance	Bündnis	Noun
Allies	Verbündete	Noun
Allow	bestätige	Verb
Allow	bestätigen	Verb
Allow	bestätigst	Verb
Allow	bestätigt	Verb
Allow	erlaube	Verb
Allow	erlauben	Verb
Allow	erlaubst	Verb
Allow	erlaubt	Verb
Allow	ermögliche	Verb
Allow	ermöglichen	Verb
Allow	ermöglichst	Verb
Allow	ermöglicht	Verb
Allow	lasse	Verb
Allow	lassen	Verb
Allow	lasst	Verb
Allow	lässt	Verb
Allow	zugeben	Verb
Allow	zulassen	Verb
Allowance	die Unterstützung	Noun
Allowance	Taschengeld	Noun
Allowance	Unterstützung	Noun
Allowed	bestätigen	Verb
Allowed	erlauben	Verb
Allowed	erlaubt	Verb
Allowed	erlaubte	Verb
Allowed	erlaubten	Verb
Allowed	ermöglichen	Verb
Allowed	lassen	Verb
Allowed	zugeben	Verb
Allude	erwähnen	Verb
Ally	Verbündete	Adverb
Aloud	der Laut	Noun
Alphabet	Abc	Noun
Alphabetically	alphabetisch	Adverb
Alpine Dress	Dirndl	Noun
Alpine Lake	Bergsee	Noun
Alps	Alpen	Noun
Alright	das Gut	Noun
Alteration	der Wandel	Noun
Alteration	Wandel	Noun
Alteration	Änderung	Noun
Alternate	Wechselgeld	Noun
Alternate/am Alternating	Wechselgeld	Noun
Alternately	abwechselnd	Adverb
Alternation	der Wechsel	Noun
Alternation	Wechsel	Noun
Alternation	Wechselgeld	Noun
Alternations	der Wechsel	Noun
Alternations	Wechsel	Noun
Alternations	Wechselgeld	Noun
Alternative	Alternative	Noun
Alternative Energy Source	die Energiequelle	Noun
Alternative Energy Source	Energiequelle	Noun
Alternatively	alternativ	Adverb
Alternatively	beziehungsweise	Adverb
Although	Obwohl	Noun
Although	Trotzdem	Noun
Although	Wobei	Noun
Although	Zwar	Noun
Altitude	Höhe	Noun
Am Looking For	die Suche	Verb
Am Looking For	suche	Verb
Am On Strike	Streik	Noun
Am Patient	Geduld	Noun
Am Putting	Stelle	Noun
Am Talking	die Rede	Verb
Am Talking	rede	Verb
Am Talking	spreche	Verb
Am Worth	Lohn	Noun
Am Worth It	Lohn	Noun
Am Worthwhile	Lohn	Noun
Amazed	erstaunt	Verb
Amazing	atemberaubend	Verb
Amazing	fantastisch	Verb
Amazing	großartig	Verb
Amazing	toll	Verb
Amazing	unfassbar	Verb
Amazing	überraschend	Verb
Amazingly	erstaunlicherweise	Adverb
Ambiance	die Gemütlichkeit	Noun
Ambiance	Gemütlichkeit	Noun
Ambient Music	Hintergrundmusik	Noun
Ambition	Ehrgeiz	Noun
Ambulance	Krankenwagen	Noun
Amend	ergänzen	Verb
Amend	hinzufügen	Verb
Amend	verbessern	Verb
Amend	ändern	Verb
Amendment	die Korrektur	Noun
Amendment	die Reform	Noun
Amendment	Korrektur	Noun
Amendment	Reform	Noun
Amendment	Änderung	Noun
America	Amerika	Noun
American	Amerikaner	Noun
American	Amerikanerin	Noun
Among	Bei	Noun
Among	Unter	Noun
Amount	Betrag	Noun
Amount	Betrages	Noun
Amount	die Konzentration	Noun
Amount	die Summe	Noun
Amount	Menge	Noun
Amount	Mengen	Noun
Amount	Summe	Noun
Amount Of Units	Stückzahl	Noun
Amount Of Water	die Wassermenge	Noun
Amplification	die Übertreibung	Noun
Amplification	Übertreibung	Noun
Amusement Park	Erlebnispark	Noun
Amusement Park	Freizeitpark	Noun
Amusement Park	Vergnügungspark	Noun
Amusing	humorvoll	Verb
An	Eins	Noun
An Actor	Schauspieler	Noun
An Architect	Architekt	Noun
An Artist	Künstler	Noun
An Author	Autor	Noun
An Engineer	Ingenieur	Noun
An Exchange Student	Austauschstudent	Noun
An Expert	Experte	Noun
An Intern	Praktikant	Noun
Analogy	der Vergleich	Noun
Analogy	Vergleich	Noun
Analysis	Analyse	Noun
Anarchist	Chaot	Noun
Anchor	Moderator	Noun
Angel	Engel	Noun
Angel	Finanzier	Noun
Anger	Ärger	Noun
Angestellter	Angestellter	Noun
Angle	Blickwinkel	Noun
Angrily	wütend	Adverb
Animal	Tier	Noun
Animal	Tieren	Noun
Animal Caretaker	Tierpfleger	Noun
Animal Experiment	Tierversuch	Noun
Animal Experimentation	Tierversuch	Noun
Animal Kingdom	Tierwelt	Noun
Animal Protection	der Tierschutz	Noun
Animal Protection	Tierschutz	Noun
Animal Rights	der Tierschutz	Noun
Animal Rights	Tierschutz	Noun
Animal Shelter	das Tierheim	Noun
Animal Shelter	Tierheim	Noun
Animal Testing	Tierversuch	Noun
Animal Welfare	der Tierschutz	Noun
Animal Welfare	Tierschutz	Noun
Animals	Tiere	Noun
Animals	Tieren	Noun
Animals'	Tiere	Noun
Animate	animieren	Verb
Animated	Zeichentrick	Verb
Animation	Animation	Noun
Ankle	das Fußgelenk	Noun
Ankle	Fußgelenk	Noun
Ankle	Knöchel	Noun
Ankle	Sprunggelenk	Noun
Anna	Anna	Noun
Anna's	Anna	Noun
Annex	der Schlag	Noun
Annex	Schlag	Noun
Anniversary	Jahrestag	Noun
Anniversary	Jubiläen	Noun
Anniversary	Jubiläum	Noun
Anniversary's	Jahrestag	Noun
Anniversary's	Jubiläum	Noun
Announce	ankündigen	Verb
Announce	ansagen	Verb
Announce	anzeigen	Verb
Announce	durchsagen	Verb
Announce	kündige an	Verb
Announce	kündigen an	Verb
Announce	kündigt an	Verb
Announce	melden	Verb
Announcement	Ansage	Noun
Announcement	Durchsage	Noun
Annoy	der Nerv	Noun
Annoy	Nerv	Noun
Annoyed	frustriert	Verb
Annoyed	genervt	Verb
Annoyed	genervter	Verb
Annoyed	gereizt	Verb
Annoyed	gereizter	Verb
Annoyed	geärgert	Verb
Annoyed	sich geärgert	Verb
Annoyed	verstimmt	Verb
Annoyed	verärgerte	Verb
Annoyed	verärgerter	Verb
Annoying	nervig	Verb
Annoying	ärgerlich	Verb
Annoying	ärgern	Verb
Annually	jährlich	Adverb
Annuity	Rente	Noun
Anonymously	anonym	Adverb
Another	Noch	Noun
Answer	Antwort	Verb
Answer	antworte	Verb
Answer	antworten	Verb
Answer	antwortest	Verb
Answer	antwortet	Verb
Answer	antwortete	Verb
Answer	beantworte	Verb
Answer	beantworten	Verb
Answer	beantwortest	Verb
Answer	beantwortet	Verb
Answer	das Ergebnis	Noun
Answer	entsprechen	Verb
Answer	erfüllen	Verb
Answer	Ergebnis	Verb
Answer	gehe	Verb
Answer	gehst	Verb
Answer	Lösung	Verb
Answer	melden	Verb
Answer	Reaktion	Verb
Answer	widersprechen	Verb
Answer	widerspricht	Verb
Answer	zurückschreiben	Verb
Answered	beantwortet	Verb
Answering	entsprechen	Verb
Answering	erfüllen	Verb
Answering Machine	Anrufbeantworter	Noun
Answers	Antworten	Noun
Answers	das Ergebnis	Noun
Answers	Ergebnis	Noun
Ant	Ameise	Noun
Antenna	Antenne	Noun
Antennae	Fühler	Noun
Anticipated	erwartet	Verb
Anticipated	vorhersehbar	Verb
Anticipated	vorhersehbare	Verb
Anticipated	vorhersehbarer	Verb
Antiperspirant	Deo	Noun
Antique	Antikstück	Noun
Antiseptic	Desinfektionsmittel	Noun
Any Chance	eine Chance	Noun
Any Cigarettes	Zigaretten	Noun
Any Ducks	Enten	Noun
Any Flour	Mehl	Noun
Anyone	Irgendjemand	Noun
Anyone	Jemanden	Noun
Anyone	Jemandes	Noun
Anyone	One	Noun
Anyone	Wen	Noun
Anything	alles	Verb
Anything	etwas	Verb
Anything	irgendetwas	Verb
Anything	jedem	Verb
Anything	jedes	Verb
Anything	nichts	Verb
Anywhere	Nirgends	Noun
Apartment	Mietwohnung	Noun
Apartment	Wohnung	Noun
Apartment Block	Wohnblock	Noun
Apartment Building	Mehrfamilienhaus	Noun
Apartments	Wohnungen	Noun
Apologize	Entschuldige	Noun
Apology	Entschuldigung	Noun
Apology	Entschuldigungsrede	Noun
Apology	Rechtfertigung	Noun
Apostle	Missionar	Noun
App	App	Noun
Appalled	geschockt	Verb
Apparently	anscheinend	Adverb
Apparently	offenbar	Adverb
Appeal	Anziehungskraft	Noun
Appealing	ansprechend	Verb
Appear	das Auftreten	Noun
Appear	Sah	Noun
Appear	Sahen	Noun
Appear	vorkommen	Verb
Appearance	Anschein	Noun
Appearance	Anstrich	Noun
Appearance	Auftauchen	Noun
Appearance	Auftreten	Noun
Appearance	Auftritt	Noun
Appearance	Auftritte	Noun
Appearance	Auftritten	Noun
Appearance	Aussehen	Noun
Appearance	Bildern	Noun
Appearance	das Ansehen	Noun
Appearance	das Auftreten	Noun
Appearance	das Aussehen	Noun
Appearance	der Auftritt	Noun
Appearance	die Sicht	Noun
Appearance	Erscheinen	Noun
Appearance	Monsters	Noun
Appearance	Präsenz	Noun
Appearance	Scheine	Noun
Appearance	Veröffentlichung	Noun
Appearance	vorkommen	Verb
Appearance	Vorkommen	Noun
Appearance	Vorschein	Noun
Appearance	Äußere	Noun
Appendix	die Ergänzung	Noun
Appendix	Ergänzung	Noun
Appetite	Appetit	Noun
Appetizer	Appetithäppchen	Noun
Appetizer	Häppchen	Noun
Appetizer	Vorspeise	Noun
Appetizer	Vorspeisen	Noun
Applaud	klatschen	Verb
Applause	der Jubel	Noun
Applause	Jubel	Noun
Apple	Apfel	Noun
Apple Cake	Apfelkuchen	Noun
Apple Juice	Apfelsaft	Noun
Apple Juice Spritzer	Apfelschorle	Noun
Apple Spritzer	Apfelschorle	Noun
Apple Strudel	Apfelstrudel	Noun
Apple Tree	Apfelbaum	Noun
Apples	Äpfel	Noun
Appliance	das Gerät	Noun
Appliance	Gerät	Noun
Applicant	Bewerber	Noun
Applicants	Bewerber	Noun
Applicants	Interessenten	Noun
Applicants'	Bewerber	Noun
Application	Antrag	Noun
Application	Bewerbung	Noun
Application	die Bewerbung	Noun
Application Form	Antrag	Noun
