English	Spanish	Part of Speech
A Piece Of	un segmento de	Noun
A Piece Of	un trocito de	Noun
A Piece Of	un trozo de	Noun
A Piece Of	una pieza de	Noun
A Pipe	una cañería	Noun
A Plane	un avión	Noun
A Plumber	un fontanero	Noun
A Plumber	un plomero	Noun
A Post	una publicación	Noun
A Potato Omelette	una tortilla de patata	Noun
A Prescription	una receta	Noun
A Problem	un problema	Noun
A Professional Opinion	una opinión profesional	Noun
A Profile	un perfil	Noun
A Profile Picture	una foto de perfil	Noun
A Pumpkin	una calabaza	Noun
A Quarter Kilo	un cuarto de kilo	Noun
A Quick-Dry	un secado rápido	Noun
A Race	una carrera	Noun
A Rake	un rastrillo	Noun
A Repair	un arreglo	Noun
A Represenation Of The Virgin	la virgen	Noun
A Representation Of Christ	el cristo	Noun
A Resounding No	un no rotundo	Noun
A Room	una habitación	Noun
A Round Of Applause	un aplauso	Noun
A Sand Castle	un castillo de arena	Noun
A Scream	un grito	Noun
A Seagull	una gaviota	Noun
A Shell	una concha	Noun
A Ship	un barco	Noun
A Shirt	una camisa	Noun
A Side Of	guarnición	Noun
A Side Of	una guarnición de	Noun
A Simplified Tax System For Small Businesses And Professionals	el régimen de estimación objetiva	Noun
A Skeleton	un esqueleto	Noun
A Skirt	una falda	Noun
A Sleeping Bag	saco	Noun
A Spider	una araña	Noun
A Spider Web	una telaraña	Noun
A Sporting Event	una prueba deportiva	Noun
A Status	un estado	Noun
A Steal	una ganga	Noun
A Storey	una planta	Noun
A Street In The April Fair With Rides	la calle del Infierno	Noun
A Sunbed	una hamaca	Noun
A Swimsuit	un bañador	Noun
A Swimsuit	un traje de baño	Noun
A System For Online Identity Verification Using A Pin	la Cl@ve PIN	Noun
A T-Shirt	una camiseta	Noun
A Table For Two	Una mesa para dos	Noun
A Tag	una etiqueta	Noun
A Taxi	un taxi	Noun
A Technician	un técnico	Noun
A Technician	una técnica	Noun
A Temperature	temperatura	Noun
A Thing	artículo	Noun
A Thing	asunto	Noun
A Thing	cosa	Noun
A Thing	elemento	Noun
A Thing	nada	Noun
A Thing	objeto	Noun
A Third	un tercio de	Noun
A Towel	una toalla	Noun
A Train	un tren	Noun
A Vampire	un vampiro	Noun
A Video Call	una videollamada	Noun
A Wash	un lavado	Noun
A Washbasin	un lavabo	Noun
A Wave	una ola	Noun
A Wax	un encerado	Noun
A Wedding Ring	una alianza	Noun
A Werewolf	un hombre lobo	Noun
A Widower	viudo	Noun
A Witch	una bruja	Noun
A Zombie	un zombi	Noun
A/one Hundred	cien	Noun
Abandon	abandonamos	Noun
Abandon	abandonan	Noun
Abandon	abandonar	Noun
Abandon	abandonaron	Noun
Abandon	abandonarán	Noun
Abandon	abandonarían	Noun
Abandon	abandonarías	Noun
Abandon	abandonas	Noun
Abandon	dejamos	Noun
Abandon	dejar	Noun
Abandon	dejarán	Noun
Abandon	dejarían	Noun
Abandon	dejarías	Noun
Abandon	renunciarían a	Noun
Abandon	renunciarías a	Noun
Abduct	robo	Noun
Abilities	las habilidades	Noun
Ability	aptitud	Noun
Ability	capacidad	Noun
Ability	competencia	Noun
Ability	facilidad	Noun
Ability	habilidad	Noun
Ability	la capacidad de	Noun
Able	capaz	Noun
Able	hábil	Noun
Able	poder	Noun
Able	pudiste	Noun
Able	puede	Noun
Able To	capaz	Noun
About	alrededores	Noun
About	aproximadamente	Noun
About	casi	Noun
About	como	Noun
About	con	Noun
About	del	Noun
About	des	Noun
About	más o menos	Noun
About	por	Noun
About	sobre	Noun
About	sobre cómo	Noun
About	unas	Noun
About	unos	Noun
About To	por	Noun
Above	arriba	Adjective
Above	encima	Adjective
Above	más	Adjective
Above	sobre	Adjective
Abrir La Boca	chair	Verb
Abroad	extranjero	Noun
Abroad	fueras	Noun
Abs	abdominales	Noun
Abscess	un flemón	Noun
Absence	falta	Noun
Absent	ausente	Noun
Absent	sin	Noun
Absolute	entero	Noun
Absolutely	absolutamente	Adjective
Absolutely	rotundamente	Adjective
Abstract Art	el arte abstracto	Noun
Absurd	absurdo	Noun
Academic	académica	Noun
Academic	académicas	Noun
Academic	académico	Noun
Academic	académicos	Noun
Academic	escolar	Noun
Academic	profesor	Noun
Academic	puramente teórico	Noun
Academy	academia	Noun
Accent	acento	Noun
Accept	acepta	Noun
Accept	aceptamos	Noun
Accept	aceptan	Noun
Accept	aceptar	Noun
Accept	aceptarme	Noun
Accept	aceptarán	Noun
Accept	aceptaré	Noun
Accept	acepte	Noun
Accept	acepten	Noun
Accept	acepto	Noun
Accept	acepté	Noun
Accept	aceptó	Noun
Acceptable	aceptable	Noun
Accepted	aceptar	Verb
Accepted	admitir	Verb
Accepted	reconocer	Verb
Accepted	reconocido	Verb
Access	acceder	Noun
Access	accederás	Noun
Access	accederé	Noun
Access	acceso	Noun
Access	el acceso	Noun
Access	entraré a	Noun
Access	obtendré acceso a	Noun
Accessible	accesible	Noun
Accident	accidente	Noun
Accident	accidentes	Noun
Accommodation	alojamiento	Noun
Accommodation	el alojamiento	Noun
Accommodations	alojamiento	Noun
Accompany	acompañar	Noun
Accomplice	cómplice	Noun
Accomplish	lograr	Noun
Accomplish	realizar	Noun
Accomplishment	consecución	Noun
Accomplishment	destreza	Noun
Accomplishment	habilidad	Noun
Accomplishment	logro	Noun
Accomplishment	logros	Noun
Accord	concierto	Noun
According To	según	Adjective
Accordingly	consecuencia	Adverb
Account	cuenta	Noun
Account	relaciones	Noun
Account	relación	Noun
Accountant	contador	Noun
Accountant	contadora	Noun
Accounting	contabilidad	Verb
Accrual Date	la fecha de devengo	Noun
Accusation	acusaciones	Noun
Accusation	acusación	Noun
Accuse	acusar	Noun
Accuse	acusándolo	Noun
Accuse	acusándome	Noun
Accuse	acusé	Noun
Accuse	culpando	Noun
Accuse	culpe	Noun
Accuse	culpo	Noun
Accuse	culpándome	Noun
Accuse	culpé	Noun
Ache	ansía + inf	Noun
Ache	doler	Noun
Ache	dolor	Noun
Ache	dolorido	Noun
Ache	duele	Noun
Ache	duelen	Noun
Aches	duele	Noun
Achieve	alcance	Noun
Achieve	alcanzar	Noun
Achieve	conseguir	Noun
Achieve	lograr	Noun
Achieve	obtener	Noun
Achievement	logro	Noun
Achieving	alcanzar	Verb
Achieving	lograr	Verb
Aching	duelen	Verb
Acknowledge	reconocer	Noun
Acknowledged	reconocido	Verb
Acquaintance	conocido	Noun
Across	a través	Noun
Across	cruzando	Noun
Across	enfrente	Noun
Across	por	Noun
Act	acción	Noun
Act	acto	Noun
Act	actuar	Noun
Act	actuaras	Noun
Act	actúan	Noun
Act	actúo	Noun
Act	comportarnos	Noun
Act	comportarse	Noun
Act	comportarte	Noun
Act	el acto	Noun
Act	número	Noun
Act	trabajen	Noun
Act As Patron To	proteger	Noun
Acted	cumplir	Verb
Acted	hacer	Verb
Acted	hacerse	Verb
Acted	hecho	Verb
Acted	ley	Verb
Acted	representar	Verb
Acted	seguir	Verb
Acted	trabajado	Verb
Acted	trabajar	Verb
Acting	cumplir	Noun
Acting	hacer	Noun
Acting	hacerse	Noun
Acting	haciendo	Noun
Acting	la actuación	Noun
Acting	la interpretación	Noun
Acting	ley	Noun
Acting	representar	Noun
Acting	seguir	Noun
Acting	trabajar	Noun
Acting Method	el método de interpretación	Noun
Action	acción	Noun
Action	acción / efecto	Noun
Action	acto	Noun
Action	actuaciones	Noun
Action	animación	Noun
Action	combate	Noun
Action	demanda	Noun
Action	funcionamiento	Noun
Action	marcha	Noun
Action	mecanismo	Noun
Action	movida	Noun
Action	movidas	Noun
Action	movimiento	Noun
Action	tramitar	Noun
Action Film	una película de acción	Noun
Action Movie	una película de acción	Noun
Activate	activo	Noun
Active	activo	Noun
Activity	actividad	Noun
Activity	movida	Noun
Actor	artista	Noun
Actor	el actor	Noun
Actress	actora	Noun
Actress	actriz	Noun
Actress	artista	Noun
Actress	la actriz	Noun
Acts	acto	Noun
Acts	actos	Noun
Acts	actuar	Noun
Acts	actúa	Noun
Acts	comportarse	Noun
Acts	cumplir	Noun
Acts	hace	Noun
Acts	hacer	Noun
Acts	hacerse	Noun
Acts	interino	Noun
Acts	interpreta	Noun
Acts	interpretar	Noun
Acts	ley	Noun
Acts	leyes	Noun
Acts	número	Noun
Acts	representar	Noun
Acts	seguir	Noun
Acts	trabaja	Noun
Acts	trabajar	Noun
Actual	material	Noun
Acá	acá	Noun
Ad	anuncio	Noun
Ad	anuncios	Noun
Ad	aviso	Noun
Adapt	acomodes	Noun
Adapt	acostumbraron	Noun
Adapt	adaptan	Noun
Adapt	adaptar	Noun
Adapt	adaptarme	Noun
Adapt	adaptarnos	Noun
Adapt	adaptarse	Noun
Adapt	adaptará	Noun
Adaptor	adaptador	Noun
Add	adicional	Noun
Add	agrega	Noun
Add	agregar	Noun
Add	agregara	Noun
Add	agregarán	Noun
Add	agrego	Noun
Add	agregue	Noun
Add	agregues	Noun
Add	agregué	Noun
Add	agregáramos	Noun
Add	ampliar	Noun
Add	aumentar	Noun
Add	añadamos	Noun
Add	añadas	Noun
Add	añade	Noun
Add	añades	Noun
Add	añadir	Noun
Add	añado	Noun
Add	colocara	Noun
Add	echándole	Noun
Add	incluyas	Noun
Add	incorporé	Noun
Add	introduzcas	Noun
Add	preparar	Noun
Add	sumar	Noun
Add	sumará	Noun
Add	échale	Noun
Add Water To	corte	Noun
Added	agregué	Verb
Adding	agregar	Verb
Additional	adicional	Noun
Additional	extraordinario	Noun
Additional Driver	el conductor	Noun
Additional Driver	la conductora adicional	Noun
Address	atender	Noun
Address	dirección	Noun
Address	una dirección	Noun
Address Informally	tutear	Adverb
Addresses	direcciones	Noun
Adds	agrega	Noun
Adecuar	perform	Noun
Adequate	aceptable	Noun
Adequate	adecuado	Noun
Adhesive Tape	el celo	Noun
Adhesive Tape	la cinta adhesiva	Noun
Adjust	adaptarme	Noun
Adjust	adaptarse	Noun
Adjust	adaptarte	Noun
Adjust	adaptas	Noun
Adjust	adapte	Noun
Adjust	adaptes	Noun
Adjust	regular	Noun
Adjust	se adaptará	Noun
Admin Department	administración	Noun
Administer	des	Noun
Administer	diera	Noun
Administer A Test To	controlar	Noun
Administered	daba	Verb
Administration	administración	Noun
Administration	gobierno	Noun
Administrative	administración	Noun
Administrative	administrativo	Noun
Administrative Area	partidos	Noun
Administrator	un administrativo	Noun
Administrator	un empleado administrativo	Noun
Administrator	una administrativa	Noun
Administrator	una empleada administrativa	Noun
Admirable	admirable	Noun
Admire	admiramos	Noun
Admire	admirar	Noun
Admire	admiras	Noun
Admire	admiremos	Noun
Admire	admiren	Noun
Admire	admiro	Noun
Admission	entrada	Noun
Admission	ingreso	Noun
Admit	admita	Noun
Admit	admite	Noun
Admit	admiten	Noun
Admit	admitiera	Noun
Admit	admitir	Noun
Admit	admitirá	Noun
Admit	admito	Noun
Admit	ingresan	Noun
Admit	ingresar	Noun
Admit	ingreso	Noun
Admit	internan	Noun
Admit	internar	Noun
Admit	internarán	Noun
Admit	internen	Noun
Admit	interno	Noun
Admit	reconocen	Noun
Admit	reconocer	Noun
Admit	reconozco	Noun
Admitted	admitir	Verb
Admitted	internar	Verb
Admitted	reconocer	Verb
Admitted	reconocido	Verb
Admitting	admitir	Verb
Adolescence	adolescencia	Noun
Adolescent	adolescente	Noun
Adopt	adopta	Noun
Adopt	adoptar	Noun
Adopt	adoptaron	Noun
Adopt	adoptas	Noun
Adopt	adopte	Noun
Adopt	adopten	Noun
Adopt	adoptes	Noun
Adopt	aprobar	Noun
Adopt	tomar	Noun
Adopt	tomara	Noun
Adopting	adoptar	Verb
Adult	adulta	Noun
Adult	adulto	Noun
Adult	adultos	Noun
Adulterate	corte	Noun
Advance Payments	los pagos a cuenta	Noun
Advanced	adelantaba	Verb
Advanced	adelantado	Verb
Advanced	adelantar	Verb
Advanced	adelantarían	Verb
Advanced	adelantó	Verb
Advanced	anticipaba	Verb
Advanced	anticipado	Verb
Advanced	anticipar	Verb
Advanced	anticiparían	Verb
Advanced	anticipó	Verb
Advanced	ascender	Verb
Advanced	ascenderían	Verb
Advanced	ascendido	Verb
Advanced	ascendió	Verb
Advanced	ascendía	Verb
Advanced	avanzaba	Verb
Advanced	avanzada	Verb
Advanced	avanzado	Verb
Advanced	avanzar	Verb
Advanced	avanzarían	Verb
Advanced	avanzarían hacia alguien	Verb
Advanced	avanzó	Verb
Advanced	avanzó hacia alguien	Verb
Advanced	daba	Verb
Advanced	dado	Verb
Advanced	dar	Verb
Advanced	darían	Verb
Advanced	dio	Verb
Advanced	fomentaba	Verb
Advanced	fomentado	Verb
Advanced	fomentar	Verb
Advanced	fomentarían	Verb
Advanced	fomentó	Verb
Advanced	potenciaba	Verb
Advanced	potenciado	Verb
Advanced	potenciar	Verb
Advanced	potenciarían	Verb
Advanced	potenció	Verb
Advanced	presentaba	Verb
Advanced	presentado	Verb
Advanced	presentar	Verb
Advanced	presentarían	Verb
Advanced	presentó	Verb
Advanced	progresaba	Verb
Advanced	progresado	Verb
Advanced	progresar	Verb
Advanced	progresarían	Verb
Advanced	progresó	Verb
Advanced	promover	Verb
Advanced	promoverían	Verb
Advanced	promovido	Verb
Advanced	promovió	Verb
Advanced	promovía	Verb
Advanced	propondrían	Verb
Advanced	proponer	Verb
Advanced	proponía	Verb
Advanced	propuesto	Verb
Advanced	propuso	Verb
Advanced	superior	Verb
Advantage	ventaja	Noun
Advent	el Adviento	Noun
Advent Wreath	la corona de Adviento	Noun
Adventure	aventura	Noun
Adventure	aventuras	Noun
Adventure Movie	una película de aventuras	Noun
Adventures	andar	Noun
Adventurous	aventurero	Noun
Advert	aviso	Noun
Advertisement	anuncio	Noun
Advertisement	anuncios	Noun
Advertisement	aviso	Noun
Advertisement	publicidad	Noun
Advertisements	publicidad	Noun
Advertising	publicidad	Verb
Advice	asesoramiento	Noun
Advice	aviso	Noun
Advice	consejo	Noun
Advice	consejos	Noun
Advice	notificación	Noun
Advisable	recomendable	Noun
Advise	aconsejamos	Noun
Advise	aconsejan	Noun
Advise	aconsejar	Noun
Advise	aconsejará	Noun
Advise	aconsejaré	Noun
Advise	aconsejas	Noun
Advise	aconsejo	Noun
Advise	aconsejó	Noun
Advise	asesoramos	Noun
Advise	asesorar	Noun
Advise	asesoraremos	Noun
Advise	asesorará	Noun
Advise	asesoraré	Noun
Advise	asesoró	Noun
Advise	informamos	Noun
Advise	informará	Noun
Advise	informaré	Noun
Advise	informó	Noun
Advise	notificamos	Noun
Advise	notificar	Noun
Advise	notificaremos	Noun
Advise	notificará	Noun
Advise	notificaré	Noun
Advise	recomendamos	Noun
Advise	recomendar	Noun
Advise	recomendaremos	Noun
Advise	recomendaré	Noun
Advise	recomendó	Noun
Advised	recomendado	Verb
Advisor	asesor	Noun
Advisor	consejero	Noun
Affair	affaire	Noun
Affair	asunto	Noun
Affair	asuntos	Noun
Affair	aventura	Noun
Affair	caso	Noun
Affair	lío	Noun
Affect	afecta	Noun
Affect	afectaba	Noun
Affect	afectan	Noun
Affect	afectar	Noun
Affect	afecte	Noun
Affection	el cariño	Noun
Affectionate	cariñoso	Noun
Afford	ofrecemos	Noun
Afford	ofrecen	Noun
Afford	ofrecer	Noun
Afford	ofreces	Noun
Afford	ofrezco	Noun
Afford	pagar	Noun
Afford	permitir	Noun
Afford	permitirme	Noun
Afford	permitirnos	Noun
Afford	permitirse	Noun
Afford	permitirte	Noun
Afford To	costearse	Noun
Afford To	permitirse	Noun
Afford To	poder	Noun
Affordable	económico	Noun
Afraid	asustado	Noun
Afraid	asustados	Noun
Afraid	miedo	Noun
Afraid	teme	Noun
Afraid	temer	Noun
African	africana	Noun
African	africanas	Noun
African	africano	Noun
African	africanos	Noun
After	Después	Noun
After	después	Noun
After	después de	Noun
After	después de que	Noun
After	después del	Noun
After	Después que	Noun
After	luego	Noun
After	por	Noun
After	tras	Noun
After All	después de todo	Noun
After All	siempre	Noun
After Being	después de estar	Noun
After Being	después de haber estado	Noun
After Being	después de haber sido	Noun
After Being	después de ser	Noun
After Having	después de haber	Noun
After Next	después del siguiente	Noun
After-Dinner Conversation	sobremesa	Noun
After-Party	after	Noun
After-Party	fiesta	Noun
Afternoon	tarde	Noun
Afternoon	tardes	Noun
Afternoon Snack	merienda	Noun
Afterward	después	Noun
Afterward	luego	Noun
Afterwards	después	Noun
Afterwards	luego	Noun
Again	nuevamente	Noun
Again	una vez más	Noun
Again	vuelven	Noun
Again And Again	una y otra vez	Noun
Against	contra	Noun
Against	en previsión de	Noun
Age	criar	Noun
Age	edad	Noun
Age	envejecer	Noun
Age	era	Noun
Age	la edad	Noun
Age	madura	Noun
Age	madurar	Noun
Age	times	Noun
Agency	agencia	Noun
Agency	sucursal	Noun
Ages	años	Noun
Ago	atrás	Noun
Ago	hace	Noun
Agobiarse	pet	Noun
Agree	accederemos	Noun
Agree	acordarse	Noun
Agree	coincidamos	Noun
Agree	coinciden	Noun
Agree	coincides	Noun
Agree	coincidimos	Noun
Agree	coincidir	Noun
Agree	coincido	Noun
Agree	concierto	Noun
Agree	concordamos	Noun
Agree	concordar	Noun
Agree	concordemos	Noun
Agree	concuerdas	Noun
Agree	concuerdo	Noun
Agree	dar la razón	Noun
Agree	está de acuerdo	Noun
Agree	están de acuerdo	Noun
Agree	estás de acuerdo	Noun
Agree On	concordar	Noun
Agree To	aceptan	Noun
Agree To	acepto	Noun
Agree With	aprobar	Noun
Agreed	accedido	Verb
Agreed	accedieron	Verb
Agreed	accedió	Verb
Agreed	aceptar	Verb
Agreed	acordado	Verb
Agreed	aprobar	Verb
Agreed	coincidíamos	Verb
Agreed	decidieron	Verb
Agreement	acuerdo	Noun
Agreement	compromiso	Noun
Agreement	concierto	Noun
Agreement	contrato	Noun
Agreement	convenio	Noun
Agrees	decidir	Noun
Agriculture	agricultura	Noun
Agua	rosé wine	Noun
Ahead	adelante	Noun
Ahead	próximas	Noun
Ahead	próximo	Noun
Ahead	próximos	Noun
Ahead Of Time	con anticipación	Noun
Aim	meta	Noun
Aim	objetivo	Noun
Air	aire	Noun
Air	brisa	Noun
Air Balloon	un globo	Noun
Air Vent	ventilador	Noun
Aircraft	aeronave	Noun
Aircraft	aeronaves	Noun
Aircraft	aeronáutico	Noun
Aircraft	aeronáuticos	Noun
Aircraft	aparato	Noun
Aircraft	aparatos	Noun
Aircraft	aviones	Noun
Aircraft	avión	Noun
Aircraft	unidad	Noun
Airline	aerolínea	Noun
Airline	compañía aérea	Noun
Airline	la aerolínea	Noun
Airline	las aerolíneas	Noun
Airline	línea aérea	Noun
Airplane	aeronaves	Noun
Airplane	avión	Noun
Airport	aeropuerto	Noun
Airport	el aeropuerto	Noun
Aisle	pasillo	Noun
Alarm	alarma	Noun
Alarm	alarmamos	Noun
Alarm	alarman	Noun
Alarm	alarmar	Noun
Alarm	alarmarán	Noun
Alarm	asustan	Noun
Alarm	asustar	Noun
Alarm	asustarán	Noun
Alarm	asustaste	Noun
Alarm	asuste	Noun
Alarm	aterra	Noun
Alarm	despertador	Noun
Alarm	inquieta	Noun
Alarm Clock	despertador	Noun
Album	álbum	Noun
Alcohol	alcohol	Noun
Alcoholic	alcohólico	Noun
Alert	mosca	Noun
Alfombra	bishop	Noun
Algebra	Álgebra	Adjective
Alibi	coartada	Noun
Alien	alienígena	Noun
Alien	extranjera	Noun
Alien	extranjero	Noun
Alien	extraterrestre	Noun
Alien	extraterrestres	Noun
Alien	extraño	Noun
Alike	igual	Noun
Alike	parecido	Noun
Alimony	alimento	Noun
Alive	vivo	Noun
All	toda	Noun
All	todas	Noun
All	todo	Noun
All	todos	Noun
All Day	todo el día	Noun
All Grown Up	adulto	Noun
All Grown Up	mayor	Noun
All Kinds Of	todo género de	Noun
All Of	todos	Noun
All Of Us	todos	Noun
All Right	bien	Noun
All Right	buen	Noun
All Right	bueno	Noun
All Saints's Day	El día de Todos los Santos	Adverb
All The Time	constantemente	Noun
All The Way	lejos	Noun
All Worth It	todo valió la pena	Noun
Allergic	alérgica	Noun
Allergic	alérgicas	Noun
Allergic	alérgico	Noun
Allergic	alérgicos	Noun
Allergy	alergia	Noun
Alliance	alianza	Noun
Allow	dejar	Noun
Allow	permitir	Noun
Allow !	déjame	Noun
Allowance	dieta	Noun
Allowance	mesada	Noun
Allowance	paga	Noun
Allowance	semana	Noun
Allowances	domingos	Noun
Allowances	semanas	Noun
Allowed	dejado	Verb
Allowed	permite	Verb
Allowed	permitidas	Verb
Allowed	permitido	Verb
Allowed	permitió	Verb
Allowed To	autorizar	Noun
Allowed To	permitir	Noun
Allowed To	poder	Noun
Alloy	liga	Noun
Alloys	liga	Noun
Alls	todos	Noun
Almond	Una almendra	Noun
Almost	apenas	Adjective
Almost	casi	Adjective
Alone	sola	Noun
Alone	solo	Noun
Alone	sólo	Noun
Along	junto	Noun
Along	por	Noun
Alphabet	alfabeto	Noun
Alright	bien	Noun
Also	además	Noun
Also	también	Noun
Altar	un altar	Noun
Alternate	alternativa	Noun
Alternate	alternativo	Noun
Alternative	alternativa	Noun
Alternative	alternativo	Noun
Although	aunque	Noun
Aluminum	aluminio	Noun
Always	siempre	Noun
Am	estoy	Noun
Am	sea	Noun
Am	soy	Noun
Am	tengo	Noun
Am At Risk	peligro	Noun
Am Choosing	escojo	Noun
Am Closing	cierro	Noun
Am Drinking	bebo	Noun
Am Eating	como	Noun
Am Familiar With	conozco	Noun
Am Giving	doy	Noun
Am Going	voy	Noun
Am Heavy	peso	Noun
Am In Tune	concierto	Noun
Am Laughing	río	Noun
Am Learning	aprendo	Noun
Am Making	hago	Noun
Am Nourishing	alimento	Noun
Am Of Benefit To	beneficio	Noun
Am Offering	ofrezco	Noun
Am Paying For	pago	Noun
Am Putting	pongo	Noun
Am Settled	pueblo	Noun
Am Spending	paso	Noun
Am Starting	empiezo	Noun
Am Taking	tomo	Noun
Am Talking	hablo	Noun
Am Using	uso	Noun
Am Waiting For	espero	Noun
Am Watching	miro	Noun
Am Wearing	uso	Noun
Am Writing	escribo	Noun
Amateurs	gatos	Noun
Amaze	asombrar	Noun
Amazed	asombraba	Verb
Amazed	asombraban	Verb
Amazed	asombrado	Verb
Amazed	asombrados	Verb
Amazed	asombraron	Verb
Amazed	asombré	Verb
Amazed	asombró	Verb
Amazed	atónito	Verb
Amazed	atónitos	Verb
Amazed	boquiabiertos	Verb
Amazing	alucinante	Verb
Amazing	asombrando	Verb
Amazing	asombroso	Verb
Amazing	está brutal	Verb
Amazing	increíble	Verb
Amazingly	increíblemente	Adverb
Ambassador	embajador	Noun
Ambition	ambición	Noun
Ambitions	ambición	Noun
Ambitious	ambicioso	Noun
Ambulance	ambulancia	Noun
Amenities	servicios	Noun
American	americana	Noun
American	americanas	Noun
American	americano	Noun
American	americanos	Noun
American	estadounidense	Noun
American	norteamericano	Noun
Among	entre	Noun
Amongst	entre	Noun
Amorous	enamoradizo	Noun
Amount	cantidad	Noun
Amount	el importe	Noun
Amusement Park Rides	juegos mecánicos	Noun
An	algún	Noun
An	una	Noun
An Air Pump	una bomba de aire	Noun
An Assault	una agresión	Noun
An Athlete	una atleta	Noun
An Emoticon	un emoticono	Noun
An Engineer	ingeniero	Noun
An Exfoliation	una exfoliación	Noun
An Interest	participar	Noun
An Interest In	participar	Noun
An Island	una isla	Noun
An Offer	una oferta	Noun
An Only Child	hijo único	Noun
An Open Mind	la mente abierta	Noun
An Update	una actualización	Noun
An X-Ray	una radiografía	Noun
Ana's	suyo	Noun
Analysis	análisis	Noun
Analyze	analizar	Noun
Anarchy	la anarquía	Noun
Ancient	antigua	Noun
Ancient	antiguas	Noun
Ancient	antiguo	Noun
Ancient	antiguos	Noun
And	como	Conjunction
And	con	Conjunction
And Had	tener	Noun
And Had	y tenía	Noun
And Rental Income	los rendimientos de capital	Conjunction
And So It Was	y así fue	Noun
And Then	y después	Noun
And You	y tú	Noun
Angel	productor	Noun
Angel	productora	Noun
Angel	un ángel	Noun
