English	Chinese	Pinyin	Part of Speech
After	看完后	kàn wán hòu	Preposition
After	经过	jīngguò	Preposition
After	结束后	jié shù hòu	Preposition
After	过	guò	Preposition
After	过了	guò le	Preposition
After All	毕竟	bì jìng	Adverb
After All	终究	zhōngjiū	Adverb
After Being	之后	zhī hòu	Noun
After Being	在…之后	zài … zhī hòu	Noun
After Being	病愈后	bìng yù hòu	Noun
After Being	经过	jīng guò	Noun
After Having	在...之后	zài ... zhī hòu	Noun
After Having	在...后	zài ... hòu	Noun
After Next	下下周	xià xià zhōu	Noun
After-Party	派对后聚会	pài duì hòu jù huì	Noun
After-Sales	售后	shòu hòu	Noun
Afternoon	下午	xià wǔ	Noun
Afternoon	午后	wǔ hòu	Noun
Afternoon Nap	午睡	wǔ shuì	Noun
Afternoon Tea	下午茶	xià wǔ chá	Noun
Afterward	之后	zhī hòu	Noun
Afterwards	后来	hòu lái	Noun
Afterwards	过后	guò hòu	Noun
Again	再	zài	Adverb
Again	再一次	zài yí cì	Adverb
Again	再次	zài cì	Adverb
Again	又	yòu	Adverb
Again	重新	zhòng xīn	Adverb
Against	反对	fǎn duì	Noun
Against	跟	gēn	Noun
Age	年纪	nián jì	Noun
Age	年龄	nián líng	Noun
Age	时代	shí dài	Noun
Agency	中介	zhōng jiè	Noun
Agency	事务所	shì wù suǒ	Noun
Agency	代理	dàilǐ	Noun
Agency	旅行社	lǚ xíng shè	Noun
Agency	机关	jī guān	Noun
Agenda	议程	yì chéng	Noun
Agent	中介	zhōng jiè	Noun
Agent	代理	dàilǐ	Noun
Agent	媒介	méijiè	Noun
Ages	岁	suì	Noun
Ages	年龄	nián líng	Noun
Aggregate	集合	jíhé	Adjective
Aggression	侵略	qīnlüè	Noun
Agile	敏捷	mǐnjié	Noun
Aging	老龄化	lǎo líng huà	Verb
Agitation	鼓动	gǔdòng	Noun
Ago	以前	yǐ qián	Noun
Ago	前	qián	Noun
Agree	同意	tóng yì	Verb
Agree	答应	dá yīng	Verb
Agree	认同	rèn tóng	Verb
Agree On	一致同意	yí zhì tóng yì	Noun
Agree To	同意	tóng yì	Noun
Agree With	同意	tóng yì	Noun
Agreement	一致	yízhì	Noun
Agreement	协议	xié yì	Noun
Agreement	合约	hé yuē	Noun
Agreement	约定	yuē dìng	Noun
Agreement	赞成	zànchéng	Noun
Agricultural Product	农产品	nóng chǎn pǐn	Noun
Agriculture	农业	nóng yè	Noun
Ah	呀	ya	Expression
Ah	哈	hā	Expression
Ah	啊	a	Expression
Ahead	前	qián	Noun
Ahead	前头	qián tóu	Noun
Ahead	前方	qián fāng	Noun
Ahead Of Time	提前	tí qián	Noun
Aid	帮助	bāng zhù	Noun
Aid	援助	yuán zhù	Noun
Aim	瞄准	miáozhǔn	Noun
Aim At	针对	zhēnduì	Preposition
Aim At	面向	miàn xiàng	Preposition
Air	神气	shénqì	Noun
Air	空气	kōng qì	Noun
Air Conditioner	空调	kōng diào	Noun
Air Conditioning	空调	kōng diào	Noun
Air Freight	空运	kōng yùn	Noun
Air Ticket	机票	jī piào	Noun
Aircraft	航空器	háng kōng qì	Noun
Aircraft	飞机	fēi jī	Noun
Aircraft	飞行器	fēi xíng qì	Noun
Airline	航空公司	háng kōng gōng sī	Noun
Airline	航空公司的航班	háng kōng gōng sī de háng bān	Noun
Airplane	航空器	háng kōng qì	Noun
Airplane	飞机	fēi jī	Noun
Airplane	飞行器	fēi xíng qì	Noun
Airport	机场	jī chǎng	Noun
Airport	飞机场	fēi jī chǎng	Noun
Airsickness	晕机	yūn jī	Noun
Aisle	过道	guò dào	Noun
Alarm	警报器	jǐng bào qì	Noun
Alarm	闹钟	nào zhōng	Noun
Alarm Clock	闹钟	nào zhōng	Noun
Alas	唉	āi	Noun
Album	专辑	zhuān jí	Noun
Alcohol	酒	jiǔ	Noun
Alcohol	酒精	jiǔjīng	Noun
Alcohol	酒精饮料	jiǔ jīng yǐn liào	Noun
Alcohol	酗酒	xùjiǔ	Noun
Alcohol Abstinence	戒酒	jiè jiǔ	Noun
Alcoholic	含酒精的	hán jiǔ jīng de	Noun
Alert	戒备	jièbèi	Adjective
Alert	清醒	qīng xǐng	Adjective
Alibi	不在场证明	bù zài chǎng zhèng míng	Noun
Alice	翘	qiào	Noun
Alien	外星	wài xīng	Noun
Alien	外星人	wài xīng rén	Noun
Alien	异	yì	Noun
Alien	异域的	yì yù de	Noun
Alien	怪异的	guài yì de	Noun
Alien	陌生	mòshēng	Noun
Alienate	疏远	shū yuǎn	Noun
Alienation	疏远	shūyuǎn	Noun
Alike	相似地	xiāng sì dì	Noun
Alive	活着	huó zhe	Noun
Alive	活着的	huó zhe de	Noun
All	一切	yī qiè	Adverb
All	一同	yī tóng	Adverb
All	一律	yī lǜ	Adverb
All	一整	yī zhěng	Adverb
All	们	men	Adverb
All	俱	jù	Adverb
All	全	quán	Adverb
All	全体	quán tǐ	Adverb
All	全部	quán bù	Adverb
All	全都	quán dōu	Adverb
All	凡是	fánshì	Adverb
All	只	zhǐ	Adverb
All	各个	gè gè	Adverb
All	所有	suǒ yǒu	Adverb
All	所有人	suǒ yǒu rén	Adverb
All	所有的	suǒ yǒu de	Adverb
All	整	zhěng	Adverb
All	整個	zhěng gè	Adverb
All	浑身	húnshēn	Adverb
All	皆	jiē	Adverb
All	统统	tǒngtǒng	Adverb
All	都	dōu	Adverb
All About	一切	yī qiè	Noun
All About	全部关于	quán bù guān yú	Noun
All Afternoon	一整个下午	yī zhěng gè xià wǔ	Noun
All Afternoon	一整个下午都	yī zhěng gè xià wǔ dōu	Noun
All Afternoon	整个下午	zhěng gè xià wǔ	Noun
All Alone	一个人	yī gè rén	Noun
All And Singular	一律	yílǜ	Adverb
All Day	一整天	yī zhěng tiān	Noun
All Day	一整天都	yī zhěng tiān dōu	Noun
All Day Long	成天	chéngtiān	Adjective
All Grown Up	长大成人	zhǎng dà chéng rén	Noun
All In All	总的来说	zǒng de lái shuō	Noun
All Kinds Of	各种	gè zhǒng	Noun
All Night	一整晚	yī zhěng wǎn	Noun
All Night	整夜	zhěng yè	Noun
All Of	所有	suǒ yǒu	Noun
All Of	所有的	suǒ yǒu de	Noun
All Of A Sudden	突然	tū rán	Noun
All Over	整个	zhěng gè	Adverb
All Over	遍	biàn	Adverb
All Over	遍布	biànbù	Adverb
All Over Again	重新	zhòng xīn	Noun
All Over The Place	到处都是	dào chù dōu shì	Noun
All Ready	齐全	qíquán	Adverb
All Right	好吧	hǎo ba	Noun
All Right	没事	méi shì	Noun
All Right	没事吧	méi shì ba	Noun
All Right	没关系	méi guān xì	Noun
All Sorts Of	各种各样的	gè zhǒng gè yàng de	Noun
All Sufferings Have Their Reward	苦尽甘来	kǔjìngānlái	Verb
All The Best	一切顺利	yī qiè shùn lì	Noun
All The Same	照样	zhàoyàng	Noun
All The Time	一直	yī zhí	Noun
All The Way	一路	yī lù	Noun
All Worth It	值得	zhí dé	Noun
Allegedly	据说	jùshuō	Adverb
Allergic	过敏的	guò mǐn de	Noun
Allergy	过敏	guò mǐn	Noun
Allergy	过敏症	guò mǐn zhèng	Noun
Alleviate	减轻	jiǎn qīng	Noun
Alleviate	缓解	huǎn jiě	Noun
Alley	巷	xiàng	Noun
Alliance	联盟	lián méng	Noun
Allow	允许	yǔn xǔ	Verb
Allow	让	ràng	Verb
Allow For	体谅	tǐliàng	Preposition
Allowance	零花钱	líng huā qián	Noun
Allowed	允许	yǔn xǔ	Verb
Allowed To	允许	yǔn xǔ	Noun
Allowing	从而	cóng ér	Verb
Allowing	允许	yǔn xǔ	Verb
Allows	允许	yǔn xǔ	Noun
Allude To	暗示	àn shì	Noun
Alma Mater	母校	mǔ xiào	Noun
Almost	九成	jiǔ chéng	Adjective
Almost	几乎	jǐ hū	Adjective
Almost	大概	dà gài	Adjective
Almost	太险	tài xiǎn	Adjective
Almost	差一点	chà yì diǎn	Adjective
Almost	差一点儿	chà yì diǎn er	Adjective
Almost	差不多	chà bù duō	Adjective
Almost	差点	chà diǎn	Adjective
Almost	差点儿	chà diǎn ér	Adjective
Almost	快	kuài	Adjective
Almost	快过	kuài guò	Adjective
Almost	险些	xiǎn xiē	Adjective
Almost A	几乎	jǐ hū	Noun
Almost A	将近	jiāngjìn	Noun
Almost A	差点	chà diǎn	Noun
Almost All	几乎所有	jī hū suǒ yǒu	Noun
Alone	一个人	yī gè rén	Verb
Alone	单独	dān dú	Verb
Alone	独自	dú zì	Verb
Along	一块儿	yī kuài ér	Noun
Along	一起	yī qǐ	Noun
Along	挨着	āi zhe	Noun
Along	沿	yán	Noun
Along	沿着	yán zhe	Noun
Along	缘	yuán	Noun
Along	靠	kào	Noun
Along	顺着	shùn zhe	Noun
Along The Way	途中	tú zhōng	Noun
Along With	随着	suízhe	Preposition
Aloud	大声	dà shēng	Noun
Already	就	jiù	Noun
Already	已经	yǐ jīng	Noun
Already	既	jì	Noun
Already	早就	zǎo jiù	Noun
Alright	不错	bù cuò	Noun
Alright	好吧	hǎo ba	Noun
Also	不光	bù guāng	Adverb
Also	也	yě	Adverb
Also	也好	yě hǎo	Adverb
Also	亦	yì	Adverb
Also	况且	kuàngqiě	Adverb
Also	并且	bìng qiě	Adverb
Also	而且	ér qiě	Adverb
Also	还	hái	Adverb
Also	还念	hái niàn	Adverb
Also	除此之外	chú cǐ zhī wài	Adverb
Also Fine	也好	yě hǎo	Noun
Alternate	交替的	jiāo tì de	Noun
Alternate	替代	tì dài	Noun
Alternative	另类的	lìng lèi de	Noun
Alternatively	或者	huò zhě	Adverb
Although	但是	dàn shì	Verb
Although	别看	bié kàn	Verb
Although	即使	jí shǐ	Verb
Although	即便	jíbiàn	Verb
Although	哪怕	nǎ pà	Verb
