English	French	Part of Speech
Across	de l'autre côté	Noun
Across	à travers	Noun
Act	acte	Noun
Act	actes	Noun
Act	action	Noun
Act	agir	Noun
Act	agir conformément à	Noun
Act	agira	Noun
Act	agirai	Noun
Act	agiraient	Noun
Act	agirait	Noun
Act	agis	Noun
Act	agissent	Noun
Act	agisses	Noun
Act	agissez	Noun
Act	agit	Noun
Act	comportaient	Noun
Act	comportais	Noun
Act	comportait	Noun
Act	comportent	Noun
Act	comportiez	Noun
Act	déconner	Noun
Act	exprimer	Noun
Act	extérioriser	Noun
Act	faire du théâtre	Noun
Act	fais du théâtre	Noun
Act	fait du théâtre	Noun
Act	faites du théâtre	Noun
Act	fera du théâtre	Noun
Act	ferai du théâtre	Noun
Act	feraient du théâtre	Noun
Act	ferait du théâtre	Noun
Act	font du théâtre	Noun
Act	geste	Noun
Act	intervenait	Noun
Act	intervient	Noun
Act	joue	Noun
Act	joue la comédie	Noun
Act	jouent	Noun
Act	jouent la comédie	Noun
Act	jouer	Noun
Act	jouer la comédie	Noun
Act	jouera	Noun
Act	jouera la comédie	Noun
Act	jouerai	Noun
Act	jouerai la comédie	Noun
Act	joueraient	Noun
Act	joueraient la comédie	Noun
Act	jouerait	Noun
Act	jouerait la comédie	Noun
Act	joues	Noun
Act	joues la comédie	Noun
Act	jouez	Noun
Act	jouez la comédie	Noun
Act	la scène	Noun
Act	loi	Noun
Act	numéro	Noun
Act	reconstituer	Noun
Act	représenter	Noun
Act	réagirait	Noun
Act	réaliser	Noun
Act	suivre	Noun
Act	être détraqué	Noun
Acted	joué	Verb
Acting	jouer	Verb
Action	acte	Noun
Active	actif	Adjective
Activist	militant	Noun
Activity	activité	Noun
Activity	d'activité	Noun
Activity	d'activités	Noun
Activity	d'animation	Noun
Activity	d'exercice	Noun
Activity	d’événements	Noun
Activity	l'activité	Noun
Activity	l'animation	Noun
Activity	l'exercice	Noun
Activity	l’activité	Noun
Activity	l’animation	Noun
Activity	l’exercice	Noun
Actor	acteur	Noun
Actor	comédien	Noun
Actor	d'acteur	Noun
Actor	d’acteurs	Noun
Actor	l'acteur	Noun
Actor	l’acteur	Noun
Actor	n’interprète	Noun
Actor	qu'acteur	Noun
Actor's	acteur	Noun
Actor's	comédien	Noun
Actress	actrice	Noun
Actress	comédienne	Noun
Acts	joue	Noun
Actual	réel	Noun
Actually	carrément	Adverb
Actually	effectivement	Adverb
Actually	justement	Adverb
Actually	réellement	Adverb
Acute	aigu	Adjective
Ad	pub	Noun
Adapt	adapter	Noun
Adapt	adaptiez	Noun
Adapt	habituerai	Noun
Adapt	remanier	Noun
Adapt	s'adapte	Noun
Adapt	s'adapter	Noun
Adapt	t'adapter	Noun
Adapt	t'adaptes	Noun
Adapt To It	s'y	Noun
Adaptable	malléable	Adjective
Adaptation	l'adaptation	Noun
Adapted	adapter	Verb
Adapted	adapté	Verb
Adapting	adapter	Verb
Add	ajoute	Noun
Add	ajoutent	Noun
Add	ajouter	Noun
Add	ajouterai	Noun
Add	ajouteront	Noun
Add	ajoutes	Noun
Add	ajoutez	Noun
Add	ajoutions	Noun
Add	ajoutons	Noun
Add	ajoutées	Noun
Add	appliquez	Noun
Add	augmenterait	Noun
Add	contribuez	Noun
Add	incluons	Noun
Add	joignez	Noun
Add	rajouter	Noun
Addiction	l'addiction	Noun
Addiction	la dépendance	Noun
Adding	ajouter	Verb
Addition	addition	Noun
Additional	supplémentaire	Adjective
Address	aborder	Noun
Address	adresse	Noun
Address	l'adresse	Noun
Adhere	coller	Noun
Adjective	l'adjectif	Noun
Adjust	adaptiez	Noun
Adjust	m'habituer	Noun
Adjust	modifiés	Noun
Adjust	règle	Noun
Adjust	réglée	Noun
Adjust	s'adapte	Noun
Adjust	t'adapter	Noun
Adjust	t'adaptes	Noun
Adjustable Wrench	la clé à molette	Noun
Adjusting	arranger	Verb
Adjusting	régler	Verb
Adjustment	l'adaptation	Noun
Adjustment	l'ajustement	Noun
Administration	administration	Noun
Administrative	administratif	Noun
Administrative Office	préfecture	Noun
Admirable	admirable	Noun
Admiration	l'admiration	Noun
Admire	admirent	Noun
Admire	admirer	Noun
Admire	admires	Noun
Admire	admirez	Noun
Admire	admirons	Noun
Admission	entrée	Noun
Admission	entrées	Noun
Admission	l'entrée	Noun
Admit	admettre	Noun
Admit	reconnaître	Noun
Admitted	admettait	Verb
Admitted	admettiez	Verb
Admitted	admis	Verb
Admitted	reconnu	Verb
Admittedly	certes	Adverb
Admitting	admettait	Verb
Admitting	admettant	Verb
Admitting	admette	Verb
Admitting	admettre	Verb
Ado	histoire	Noun
Adolescence	l'adolescence	Noun
Adolescent	adolescent	Noun
Adopt	adopte	Noun
Adopt	adopter	Noun
Adopted	adoptif	Adjective
Adopted	prenait	Adjective
Adoptive	adoptif	Adjective
Adorable	mignon	Adjective
Adorn	parent	Noun
Adorned	décorer	Verb
Adult	adulte	Noun
Adult	d'adulte	Noun
Adult	l'adulte	Noun
Advance	avancer	Noun
Advance	progrès	Noun
Advanced	avancé	Adjective
Advantage	avantage	Noun
Advantage	d'avantages	Noun
Advantage	d'utile	Noun
Advantage	d’avantages	Noun
Advantage	l'avantage	Noun
Advantage	utilité	Noun
Advantageous	favorable	Adjective
Adventure	aventure	Noun
Adventure	d'aventure	Noun
Adventure	exploits	Noun
Adventure	l'aventure	Noun
Adventure Tourism	d'aventure	Noun
Adventure Travel	d'aventure	Noun
Adverb	l'adverbe	Noun
Advertisement	l'affiche	Noun
Advertisement	l'annonce	Noun
Advertisement	la publicité	Noun
Advertisement	publicité	Noun
Advertising	publicitaire	Adjective
Advertising	publicité	Noun
Advice	conseil	Noun
Advise	avertis	Noun
Advise	avise	Noun
Advise	conseille	Noun
Advise	conseiller	Noun
Advise	conseilleriez	Noun
Advise	conseillerions	Noun
Advise	conseilles	Noun
Advise	conseillez	Noun
Advise	conseilliez	Noun
Advise	recommande	Noun
Advise	recommander	Noun
Advise	recommanderait	Noun
Advise	recommanderions	Noun
Advise	renseignerais	Noun
Advise	renseignons	Noun
Advise	suggérerions	Noun
Aeroplane	avion	Noun
Affair	affaire	Noun
Affair	affaires	Noun
Affair	amour	Noun
Affair	aventure	Noun
Affair	liaison	Noun
Affair	sujet	Noun
Affect	affecte	Noun
Affect	affectent	Noun
Affect	affecter	Noun
Affect	affectera	Noun
Affect	affectionne	Noun
Affect	affectionnent	Noun
Affect	affectionner	Noun
Affect	affectionnera	Noun
Affect	affectés	Noun
Affect	atteignent	Noun
Affect	atteindra	Noun
Affect	atteindre	Noun
Affect	atteint	Noun
Affect	concerne	Noun
Affect	concernent	Noun
Affect	concerner	Noun
Affect	concernera	Noun
Affect	concernés	Noun
Affect	endommagés	Noun
Affect	feignent	Noun
Affect	feindra	Noun
Affect	feindre	Noun
Affect	feint	Noun
Affect	frappent	Noun
Affect	n'impressionnaient	Noun
Affect	nuire	Noun
Affect	prend	Noun
Affect	prendra	Noun
Affect	prendre	Noun
Affect	prennent	Noun
Affect	touche	Noun
Affect	touchent	Noun
Affect	toucher	Noun
Affect	touchera	Noun
Affect	émeut	Noun
Affect	émeuvent	Noun
Affect	émotion	Noun
Affect	émouvoir	Noun
Affect	émouvra	Noun
Affection	l'affection	Noun
Affectionate	affectueux	Noun
Affective	affectif	Adjective
Affinity	l'affinité	Noun
Afford To	pouvoir	Noun
Affordable	raisonnable	Adjective
Affordable Housing	HLM	Noun
Afraid	peur	Noun
Africa	Afrique	Noun
Africa	l'Afrique	Noun
African	africain	Noun
After	après	Preposition
After	après avoir	Preposition
After	après m'	Preposition
After	après qu'	Preposition
After	après que	Preposition
After	après s'être	Preposition
After	après t'	Preposition
After	après être	Preposition
After	d’après	Preposition
After	selon	Preposition
After All	après tout	Noun
After All	finalement	Noun
After Being	après avoir été	Noun
After Being	après être	Noun
After Having	après avoir	Noun
After Having	après leur	Noun
After Having	après s'être	Noun
After Having	après être	Noun
After Him	après lui	Noun
After Next	après la prochaine	Noun
After Next	après la semaine prochaine	Noun
After Next	après le prochain	Noun
After Next	après le suivant	Noun
After Next	après le week-end prochain	Noun
After Talking To You	après vous	Noun
After That	après	Noun
After That	après cela	Noun
After That	après ça	Noun
After That	ensuite	Noun
After That	puis	Noun
After Us	après nous	Noun
After-Party	after	Noun
After-Party	fête	Noun
After-Party	soirée	Noun
After-Party	soirée après la fête	Noun
Afternoon	après-midi	Noun
Afternoon	de l'après-midi	Noun
Afternoon	l'après-midi	Noun
Afternoon Snack	goûter	Noun
Afternoon Snack	le goûter	Noun
Afternoons	après-midis	Noun
Afterward	ensuite	Noun
Afterwards	après	Noun
Afterwards	ensuite	Noun
Again	déjà	Adverb
Again	encore	Adverb
Again	nouveau	Adverb
Again	nouvel	Adverb
Against	contre	Preposition
Against	malgré	Preposition
Age	l'âge	Noun
Age	l'ère	Noun
Age	âge	Noun
Age	ère	Noun
Agency	agence	Noun
Agency	succursale	Noun
Agency	succursales	Noun
Agenda	programme	Noun
Agent	agent	Noun
Ages	éternité	Noun
Aggregate	total	Adjective
Aggression	l'agression	Noun
Aggressive	agressif	Adjective
Aging Well	bien conservé	Adjective
Agitated	fébrile	Adjective
Ago	d'années	Phrase
Ago	d'avant	Phrase
Ago	l'heure	Phrase
Agree	accepte	Noun
Agree	acceptons	Noun
Agree	approuver	Noun
Agree	convenir	Noun
Agree	d'accord	Noun
Agree	es d'accord	Noun
Agree	sois d'accord	Noun
Agree	êtes d'accord	Noun
Agree	être d'accord	Noun
Agree On	fixer	Noun
Agree On	s'entendre sur	Noun
Agree On	se mettre d'accord sur	Noun
Agree On	établir	Noun
Agree To	accepter	Noun
Agree To	consentir à	Noun
Agree To	être d'accord pour	Noun
Agree With	convenir à	Noun
Agree With	partager l'avis de	Noun
Agree With	s'accorder avec	Noun
Agree With	être d'accord avec	Noun
Agree With	être en accord avec	Noun
Agreeable	agréable	Noun
Agreed	approuver	Interjection
Agreed	convenir	Interjection
Agreed	d'accord	Interjection
Agreement	accord	Noun
Agreement	compromise	Noun
Agreement	contrat	Noun
Agreement	contrats	Noun
Agreement	engagement	Noun
Agreement	l'unanimité	Noun
Agreement	transaction	Noun
Agriculture	agriculture	Noun
Ahead	avant	Adverb
Ahead	d'avance	Adverb
Ahead	devant	Adverb
Ahead	l'avance	Adverb
Ahead Of	avant	Noun
Aim	viser	Noun
Air	d’air	Noun
Air	l'atmosphère	Noun
Air	l’air	Noun
Air	l’être	Noun
Air	mélodie	Noun
Air Conditioner	climatiseur	Noun
Air Conditioner	conditionneur d'air	Noun
Air Conditioning	climatisation	Noun
Air Hostess	hôtesse de l'air	Noun
Air Hostess	l'hôtesse de l'air	Noun
Air-Fuel Mixture	gaz	Noun
Airborne	aérien	Adjective
Aircraft	avion	Noun
Aircraft	avions	Noun
Aircraft	aéronef	Noun
Airline	compagnie aérienne	Noun
Airline Company	compagnie aérienne	Noun
Airplane	avion	Noun
Airplane	l'avion	Noun
Airport	aéroport	Noun
Airport	l'aéroport	Noun
Airports	aéroports	Noun
Aisle	couloir	Noun
Aisle	rayon	Noun
Aisles	allées	Noun
Alarm	alarme	Noun
Alarm	d'alarme	Noun
Alarm	d'alerte	Noun
Alarm	détecteur	Noun
Alarm	l'alarme	Noun
Alarm	l'alerte	Noun
Alarm	l'inquiète	Noun
Alarm	l’alarme	Noun
Alarm	réveil	Noun
Alarm	réveils	Noun
Alarm Clock	réveil	Noun
Alarming	inquiétant	Verb
Alas	hélas	Noun
Album	d'album	Noun
Album	d'albums	Noun
Album	l'album	Noun
Alchemy	chimie	Noun
Alcohol	alcool	Noun
Alcohol	l'alcool	Noun
Alcohol Addiction	l'alcoolisme	Noun
Alcoholic	alcoolique	Noun
Alcoholic	alcoolisé	Noun
Alcoholism	l'alcoolisme	Noun
Alert	vigilant	Adjective
Algeria	Algérie	Noun
Algerian	algérien	Noun
Alibi	d'alibi	Noun
Alibi	l'alibi	Noun
Alien	-ère	Noun
Alien	extraterrestre	Noun
Alien	étranger	Noun
Alike	pareil	Noun
Alike	semblable	Noun
Alive	vivant	Noun
All	tous	Adjective
All	tout	Adjective
All	toute	Adjective
All	toutes	Adjective
All About	tout	Noun
All Day	toute la journée	Noun
All In All	dans l'ensemble	Noun
All Mine	à moi	Noun
All Of	tous	Noun
All Of	tout	Noun
All Of	toutes	Noun
All Of A Sudden	tout à coup	Noun
All One Has Left To Do Is	reste plus qu'à	Noun
All Our Best Wishes	tous nos vœux de bonheur	Noun
All Over	partout	Adverb
All Over Again	à zéro	Noun
All Over The Place	partout	Noun
All Right	bien	Interjection
All Right	d'accord	Interjection
All That Remains Is To	il n'y a plus qu'à	Noun
All That's Left Is To	plus qu'à	Noun
All The Same	quand même	Noun
All The Same	tout de même	Noun
All The Way	complètement	Noun
All The Way	jusqu'au bout	Noun
All The Way	jusque	Noun
All's	toutes	Noun
All-Eating	omnivore	Adjective
All-Purpose	passe-partout	Adjective
Alleged	supposé	Verb
Allergic	allergique	Adjective
Allergy	allergie	Noun
Allergy	l'allergie	Noun
Alley	ruelle	Noun
Allow	admise	Noun
Allow	autorise	Noun
Allow	autorisons	Noun
Allow	laissent	Noun
Allow	permet	Noun
Allow	permet à	Noun
Allow	permettaient	Noun
Allow	permettent	Noun
Allow	permettez	Noun
Allow	permettez à	Noun
Allow	permettrait	Noun
Allow	permettre	Noun
Allow	permettre à	Noun
Allow	tolère	Noun
Allow	tolérerons	Noun
Allowance	allocation	Noun
Allowed	accorder	Verb
Allowed	admettaient	Verb
Allowed	admettait	Verb
Allowed	autorisé	Verb
Allowed	autorisée	Verb
Allowed	autorisés	Verb
Allowed	laissaient	Verb
Allowed	laissiez	Verb
Allowed	permis	Verb
Allowed To	autorisé	Noun
Almond	l'amande	Noun
Almost	failli	Noun
Almost	presque	Noun
Almost	près	Noun
Almost A	près de un	Noun
Almost A	près de une	Noun
Alms	l'aumône	Noun
Alone	seul	Noun
Aloud	à haute voix	Noun
Alphabet	l'alphabet	Noun
Already	déjà	Noun
Alright	d'accord	Noun
Also	aussi	Adverb
Also	également	Adverb
Alternate	alternative	Noun
Alternative	-elle	Noun
Alternative	-ive	Noun
Alternative	alternatif	Noun
Alternative	autre	Noun
Alternative	autre possibilité	Noun
Alternative	choix	Noun
Alternative	non-conventionnel	Noun
Alternative	possibilité	Noun
Alternatively	autrement	Adverb
Although	tous	Noun
Although	toute	Noun
Although	toutes	Noun
Although He	qu'il	Noun
Always	toujours	Adverb
Always Used To	avait constamment l'habitude de	Noun
Always Used To	avait toujours l'habitude de	Noun
Always Used To	était toujours habitué à	Noun
Am	sois	Noun
Am	suis	Noun
Am Able To	peux	Noun
Am Asking For	demande	Noun
Am Brushing	brosse	Noun
Am Buying	achète	Noun
Am Calling	appelle	Noun
Am Choosing	choisis	Noun
Am Cleaning	nettoie	Noun
Am Closing	ferme	Noun
Am Coming	viens	Noun
Am Coming Out	sors	Noun
Am Cooking	cuisine	Noun
Am Counting	compte	Noun
Am Cutting	coupe	Noun
Am Dancing	danse	Noun
Am Doing	fais	Noun
Am Donating	donne	Noun
Am Drawing	dessine	Noun
Am Dreaming	rêve	Noun
Am Driving	conduis	Noun
Am Eating	mange	Noun
Am Explaining	explique	Noun
Am Faulty	cloche	Noun
Am Finishing	finis	Noun
Am Following	suis	Noun
Am From	viens d'	Noun
Am Getting	prends	Noun
Am Giving	donne	Noun
Am Going	aille	Noun
Am Going	vais	Noun
Am Going Home	rentre	Noun
Am Going Out	sors	Noun
Am Going To	vais	Noun
Am Having	prends	Noun
Am Helping	aide	Noun
Am Hunting	chasse	Noun
Am I Imagining Things	non mais je rêve	Noun
Am Learning	apprends	Noun
Am Leaving	pars	Noun
Am Leaving	quitte	Noun
Am Leaving	sors	Noun
Am Lending	prête	Noun
Am Letting Go	laisse	Noun
Am Listening	écoute	Noun
Am Living	habite	Noun
Am Looking At	regarde	Noun
Am Making	fais	Noun
Am Making	prépare	Noun
Am Mixing	mélange	Noun
Am Not	n'ai pas	Noun
Am Opening	ouvre	Noun
Am Ordering	commande	Noun
Am Passing	passe	Noun
Am Paying	paye	Noun
Am Paying For	paye	Noun
Am Playing	joue	Noun
Am Pointing To	montre	Noun
Am Preparing	prépare	Noun
Am Putting	mets	Noun
Am Putting Away	range	Noun
Am Putting On	mets	Noun
Am Reading	lis	Noun
Am Replying	réponds	Noun
Am Searching For	recherche	Noun
Am Seeing	vois	Noun
Am Selling	vends	Noun
Am Sending	envoie	Noun
Am Showing	montre	Noun
Am Singing	chante	Noun
Am Sleeping	dors	Noun
Am Speaking	parle	Noun
Am Spending	passe	Noun
Am Starting	commence	Noun
Am Staying	reste	Noun
Am Studying	apprends	Noun
Am Studying	étudie	Noun
Am Swimming	nage	Noun
Am Taking	prend	Noun
Am Taking	prends	Noun
Am Talking	parle	Noun
Am Telling	dis	Noun
Am Traveling	voyage	Noun
Am Turning	tourne	Noun
Am Using	utilise	Noun
Am Visiting	visite	Noun
Am Voting	vote	Noun
Am Waiting	attends	Noun
Am Waiting For	attends	Noun
Am Walking	marche	Noun
Am Washing	lave	Noun
Am Watching	regarde	Noun
Am Wearing	porte	Noun
Am Working	travaille	Noun
Am Writing	écris	Noun
Am Writing Down	note	Noun
Amazed	stupéfait	Verb
Amazing	formidable	Adjective
Amazing	incroyable	Adjective
Amazing	étonnant	Adjective
Amazingly	incroyablement	Adverb
Amazingly	étonnamment	Adverb
Ambassador	ambassadeur	Noun
Ambassador	l'ambassadeur	Noun
Ambition	l'ambition	Noun
Ambitious	ambitieuse	Adjective
Ambitious	ambitieuses	Adjective
Ambitious	ambitieux	Adjective
Ambulance	ambulances	Noun
Ambulance	d'ambulances	Noun
Ambulance	l'ambulance	Noun
Ambulance	l’ambulance	Noun
America	Amérique	Noun
American	américain	Adjective
American	américaine	Adjective
American	américaines	Adjective
American	américains	Adjective
American	d'amérique	Adjective
American	d’amérique	Adjective
